episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score,opponent_switch_count,vec_schema_version
1,0,,277.2,2409,145,0,1.47408,0.71232,0.258333,OP1,scripted,OP1,0,0,0,2
2,0,,277.2,2409,120,0,1.57431,0.90572,0.241667,OP1,scripted,OP1,0,0,0,2
3,1,112.959,277.2,2405,123,0,1.67755,1.04994,0.4,OP1,scripted,OP1,1,0,0,2
4,0,,277.2,1256,1165,0,1.81607,0.903298,0.375,OP1,scripted,OP1,0,0,0,2
5,1,45.738,257.103,1161,972,0,1.63638,0.910798,0.358333,OP1,scripted,OP1,3,0,0,2
6,0,,277.2,2385,134,0,1.65287,0.891564,0.433333,OP1,scripted,OP1,0,0,0,2
7,1,121.968,277.2,2417,88,0,1.8176,0.945744,0.291667,OP1,scripted,OP1,1,0,0,2
8,0,,277.2,2321,98,0,1.70786,0.892647,0.35,OP1,scripted,OP1,0,0,0,2
9,1,178.101,277.2,2379,153,0,1.44614,0.88463,0.275,OP1,scripted,OP1,2,0,0,2
10,1,35.343,277.2,2270,140,0,1.70615,0.921157,0.233333,OP1,scripted,OP1,1,0,0,2
11,0,,277.2,2364,125,0,1.50198,0.808023,0.308333,OP1,scripted,OP1,0,0,0,2
12,1,265.419,277.2,2341,116,0,1.67408,0.800626,0.3,OP1,scripted,OP1,1,0,0,2
13,0,,277.2,1268,1255,0,1.50078,0.91499,0.25,OP1,scripted,OP1,0,0,0,2
14,0,,277.2,2404,89,0,1.88533,1.02559,0.433333,OP1,scripted,OP1,0,0,0,2
15,1,263.34,277.2,2441,146,0,1.62577,0.964756,0.275,OP1,scripted,OP1,1,0,0,2
16,1,65.142,277.2,1264,1043,0,1.55447,0.909181,0.266667,OP1,scripted,OP1,2,0,0,2
17,1,226.611,277.2,2368,124,0,1.59023,0.825642,0.25,OP1,scripted,OP1,1,0,0,2
18,0,,277.2,1257,1124,0,1.76345,0.964146,0.3,OP1,scripted,OP1,0,0,0,2
19,1,66.528,277.2,2461,154,0,1.37558,0.769004,0.175,OP1,scripted,OP1,1,0,0,2
20,1,234.927,277.2,2356,145,0,1.56739,0.94431,0.308333,OP1,scripted,OP1,1,0,0,2
21,1,60.291,277.2,2360,126,0,1.70629,0.9131,0.2,OP1,scripted,OP1,2,0,0,2
22,1,120.582,277.2,1249,1118,0,1.58135,0.805127,0.166667,OP1,scripted,OP1,1,0,0,2
23,1,266.112,277.2,2420,146,0,1.54894,0.949968,0.325,OP1,scripted,OP1,1,0,0,2
24,0,,277.2,2394,148,0,1.53147,0.885234,0.375,OP1,scripted,OP1,0,0,0,2
25,1,266.112,277.2,2401,132,0,1.44619,0.802528,0.275,OP1,scripted,OP1,1,0,0,2
26,0,,277.2,2434,134,0,1.6182,0.845706,0.225,OP1,scripted,OP1,0,0,0,2
27,0,,277.2,2339,140,0,1.65462,0.796387,0.341667,OP1,scripted,OP1,0,0,0,2
28,1,117.117,277.2,2349,150,0,1.60549,0.851995,0.283333,OP1,scripted,OP1,2,0,0,2
29,0,,277.2,2306,124,0,1.70374,0.90609,0.266667,OP1,scripted,OP1,0,0,0,2
30,1,185.031,277.2,2381,108,0,1.56476,0.89838,0.3,OP1,scripted,OP1,1,0,0,2
31,1,156.618,277.2,1266,1120,0,1.54507,0.85047,0.375,OP1,scripted,OP1,1,0,0,2
32,1,130.284,277.2,2379,122,0,1.75368,0.995722,0.258333,OP1,scripted,OP1,1,0,0,2
33,1,79.695,277.2,1249,1171,0,1.58689,0.841352,0.216667,OP1,scripted,OP1,1,0,0,2
