team_size,model,episode,blue_score,red_score,success,decision_steps,return
2v2,Ours,0,3,1,1,87,-1.0115
2v2,Ours,1,3,1,1,107,-3.3477
2v2,Ours,2,3,0,1,121,-3.8789
2v2,Ours,3,3,0,1,90,-3.0171
2v2,Ours,4,3,1,1,86,-1.0399
2v2,Ours,5,3,1,1,114,-5.4330
2v2,Ours,6,3,0,1,89,-0.0687
2v2,Ours,7,3,1,1,124,-5.2452
2v2,Ours,8,3,2,1,148,-9.1052
2v2,Ours,9,3,0,1,79,-1.0049
2v2,Ours,10,3,0,1,105,-3.7996
2v2,Ours,11,3,1,1,88,-2.1106
2v2,Ours,12,3,0,1,118,-3.8975
2v2,Ours,13,3,2,1,106,-3.0467
2v2,Ours,14,3,2,1,125,-5.0350
2v2,Ours,15,3,2,1,114,-4.9421
2v2,Ours,16,3,0,1,89,-1.9602
2v2,Ours,17,3,2,1,115,-4.7323
2v2,Ours,18,3,1,1,103,-4.6466
2v2,Ours,19,3,1,1,107,-3.2222
2v2,Ours,20,3,1,1,96,-1.3591
2v2,Ours,21,3,2,1,112,-4.6272
2v2,Ours,22,3,0,1,104,-2.4212
2v2,Ours,23,3,2,1,122,-4.8025
2v2,Ours,24,3,2,1,86,-2.6600
2v2,Ours,25,3,1,1,110,-2.7638
2v2,Ours,26,3,1,1,105,-1.4446
2v2,Ours,27,3,2,1,91,-1.1326
2v2,Ours,28,3,2,1,108,-2.5740
2v2,Ours,29,3,1,1,116,-3.8347
2v2,Ours,30,3,0,1,90,-2.3464
2v2,Ours,31,3,0,1,85,-2.4528
2v2,Ours,32,3,1,1,143,-5.0422
2v2,Ours,33,3,2,1,83,-1.3108
2v2,Ours,34,3,2,1,117,-3.5013
2v2,Ours,35,3,1,1,136,-4.0551
2v2,Ours,36,3,2,1,103,-2.0509
2v2,Ours,37,3,2,1,138,-6.1380
2v2,Ours,38,3,1,1,94,-2.3867
2v2,Ours,39,2,3,0,111,-5.4759
2v2,Ours,40,1,3,0,152,-8.7399
2v2,Ours,41,3,1,1,118,-3.3609
2v2,Ours,42,3,1,1,111,-3.9509
2v2,Ours,43,3,1,1,96,-3.2645
2v2,Ours,44,3,1,1,166,-7.4360
2v2,Ours,45,3,0,1,88,-2.1584
2v2,Ours,46,3,1,1,107,-3.6592
2v2,Ours,47,3,1,1,96,-1.9788
2v2,Ours,48,3,2,1,107,-4.7729
2v2,Ours,49,3,1,1,113,-5.3243
2v2,Ours,50,3,2,1,110,-3.7302
2v2,Ours,51,3,0,1,107,-3.8843
2v2,Ours,52,3,2,1,116,-4.3220
2v2,Ours,53,3,0,1,88,-2.4808
2v2,Ours,54,3,2,1,113,-3.9540
2v2,Ours,55,3,1,1,80,-2.5572
2v2,Ours,56,3,1,1,86,-2.1638
2v2,Ours,57,3,0,1,87,-1.3021
2v2,Ours,58,2,3,0,139,-6.2719
2v2,Ours,59,3,0,1,94,-2.8408
2v2,Ours,60,3,1,1,104,-3.0571
2v2,Ours,61,3,0,1,83,-1.8559
2v2,Ours,62,3,1,1,143,-5.2151
2v2,Ours,63,3,1,1,135,-6.4265
2v2,Ours,64,3,1,1,123,-4.5045
2v2,Ours,65,3,0,1,154,-5.7074
2v2,Ours,66,2,3,0,170,-8.8357
2v2,Ours,67,3,2,1,92,-1.4431
2v2,Ours,68,3,2,1,115,-5.2246
2v2,Ours,69,3,1,1,111,-4.3832
2v2,Ours,70,3,1,1,106,-3.3252
2v2,Ours,71,3,1,1,108,-2.9030
2v2,Ours,72,3,1,1,101,-2.9903
2v2,Ours,73,3,2,1,109,-3.1135
2v2,Ours,74,3,1,1,108,-2.4934
2v2,Ours,75,3,1,1,104,-1.8276
2v2,Ours,76,3,1,1,130,-5.5602
2v2,Ours,77,3,1,1,87,-2.5672
2v2,Ours,78,3,1,1,89,-1.3065
2v2,Ours,79,3,0,1,104,-3.2154
2v2,Ours,80,3,0,1,85,-2.0763
2v2,Ours,81,3,2,1,115,-3.0872
2v2,Ours,82,3,1,1,112,-4.8493
2v2,Ours,83,3,1,1,86,-1.8245
2v2,Ours,84,3,2,1,121,-3.5906
2v2,Ours,85,3,1,1,81,-0.4992
2v2,Ours,86,3,1,1,116,-4.4699
2v2,Ours,87,3,0,1,85,-1.1286
2v2,Ours,88,3,1,1,100,-1.5026
2v2,Ours,89,3,1,1,98,-2.6617
2v2,Ours,90,3,1,1,87,0.0708
2v2,Ours,91,3,0,1,125,-4.9968
2v2,Ours,92,3,1,1,84,-1.4612
2v2,Ours,93,3,2,1,138,-5.7980
2v2,Ours,94,3,1,1,99,-2.8240
2v2,Ours,95,3,1,1,139,-7.5454
2v2,Ours,96,3,1,1,106,-2.8160
2v2,Ours,97,3,0,1,157,-8.0921
2v2,Ours,98,3,0,1,118,-4.5512
2v2,Ours,99,3,1,1,119,-4.8841
2v2,Jacob et al.,0,3,1,1,95,-1.6363
2v2,Jacob et al.,1,3,0,1,120,-3.3631
2v2,Jacob et al.,2,3,0,1,142,-7.4327
2v2,Jacob et al.,3,0,3,0,214,-12.3707
2v2,Jacob et al.,4,3,1,1,74,-1.0793
2v2,Jacob et al.,5,3,1,1,83,-3.0725
2v2,Jacob et al.,6,3,1,1,96,-2.8661
2v2,Jacob et al.,7,3,2,1,85,-2.6244
2v2,Jacob et al.,8,3,2,1,133,-5.2194
2v2,Jacob et al.,9,3,1,1,111,-2.7317
2v2,Jacob et al.,10,3,0,1,95,-2.9481
2v2,Jacob et al.,11,3,1,1,91,-2.6950
2v2,Jacob et al.,12,3,1,1,108,-4.7267
2v2,Jacob et al.,13,3,2,1,211,-7.4889
2v2,Jacob et al.,14,3,0,1,83,-1.9161
2v2,Jacob et al.,15,3,1,1,103,-4.2764
2v2,Jacob et al.,16,3,1,1,135,-4.1488
2v2,Jacob et al.,17,2,3,0,129,-7.1180
2v2,Jacob et al.,18,3,0,1,151,-6.7351
2v2,Jacob et al.,19,3,1,1,124,-5.0710
2v2,Jacob et al.,20,3,0,1,76,-1.9620
2v2,Jacob et al.,21,0,3,0,216,-12.9286
2v2,Jacob et al.,22,2,3,0,237,-10.0556
2v2,Jacob et al.,23,2,3,0,136,-6.4447
2v2,Jacob et al.,24,3,1,1,106,-5.0577
2v2,Jacob et al.,25,3,1,1,113,-4.8965
2v2,Jacob et al.,26,3,1,1,110,-3.4564
2v2,Jacob et al.,27,3,0,1,81,-2.7253
2v2,Jacob et al.,28,3,2,1,151,-6.3893
2v2,Jacob et al.,29,3,0,1,106,-3.0091
2v2,Jacob et al.,30,3,2,1,104,-2.7510
2v2,Jacob et al.,31,3,1,1,135,-3.8499
2v2,Jacob et al.,32,3,0,1,93,-2.5819
2v2,Jacob et al.,33,3,1,1,100,-2.1874
2v2,Jacob et al.,34,3,2,1,143,-5.6300
2v2,Jacob et al.,35,3,1,1,101,-3.3311
2v2,Jacob et al.,36,3,0,1,89,-3.1790
2v2,Jacob et al.,37,3,1,1,134,-6.6990
2v2,Jacob et al.,38,3,0,1,91,-2.4338
2v2,Jacob et al.,39,3,2,1,109,-3.4641
2v2,Jacob et al.,40,3,2,1,123,-4.2594
2v2,Jacob et al.,41,2,3,0,147,-8.0924
2v2,Jacob et al.,42,3,0,1,121,-6.2648
2v2,Jacob et al.,43,3,1,1,95,-3.5897
2v2,Jacob et al.,44,3,1,1,120,-5.3302
2v2,Jacob et al.,45,3,1,1,138,-6.3675
2v2,Jacob et al.,46,3,1,1,94,-2.4323
2v2,Jacob et al.,47,3,2,1,177,-6.9353
2v2,Jacob et al.,48,2,3,0,103,-7.2728
2v2,Jacob et al.,49,1,3,0,194,-11.2674
2v2,Jacob et al.,50,3,2,1,131,-5.3980
2v2,Jacob et al.,51,3,0,1,94,-3.2516
2v2,Jacob et al.,52,2,3,0,110,-7.6698
2v2,Jacob et al.,53,3,0,1,92,-2.3707
2v2,Jacob et al.,54,3,0,1,94,-3.2551
2v2,Jacob et al.,55,3,0,1,98,-3.2126
2v2,Jacob et al.,56,3,0,1,86,-1.2851
2v2,Jacob et al.,57,3,0,1,105,-2.5635
2v2,Jacob et al.,58,3,3,0,152,-7.5425
2v2,Jacob et al.,59,3,1,1,113,-2.9587
2v2,Jacob et al.,60,3,1,1,160,-9.5635
2v2,Jacob et al.,61,2,3,0,107,-6.6026
2v2,Jacob et al.,62,1,3,0,125,-6.3244
2v2,Jacob et al.,63,3,1,1,135,-4.7305
2v2,Jacob et al.,64,3,1,1,141,-7.8714
2v2,Jacob et al.,65,3,0,1,77,-2.0178
2v2,Jacob et al.,66,3,2,1,136,-4.5405
2v2,Jacob et al.,67,3,1,1,77,-2.0498
2v2,Jacob et al.,68,3,1,1,128,-5.2212
2v2,Jacob et al.,69,1,3,0,240,-11.2218
2v2,Jacob et al.,70,3,1,1,103,-3.6805
2v2,Jacob et al.,71,3,1,1,139,-4.6949
2v2,Jacob et al.,72,3,0,1,98,-2.1721
2v2,Jacob et al.,73,3,1,1,101,-4.3721
2v2,Jacob et al.,74,3,2,1,151,-5.6421
2v2,Jacob et al.,75,3,0,1,86,-2.4707
2v2,Jacob et al.,76,3,2,1,116,-3.6466
2v2,Jacob et al.,77,3,0,1,136,-4.5032
