episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score
1,1,169.785,300.069,403,41,0,4.09111,2.68618,0.166667,OP1,scripted,OP1,1,0
2,0,,300.069,420,28,0,4.4109,2.5416,0.116667,OP1,scripted,OP1,0,0
3,0,,300.069,416,38,0,4.32891,2.40713,0.216667,OP1,scripted,OP1,0,0
4,1,191.961,300.069,240,181,0,4.65495,3.32776,0.183333,OP1,scripted,OP1,2,0
5,1,93.555,263.34,27,332,0,3.84064,2.41426,0.125,OP1,scripted,OP1,3,0
6,1,39.501,300.069,361,39,0,4.61067,3.02773,0.325,OP1,scripted,OP1,2,0
7,1,133.056,300.069,401,31,0,4.81704,3.11889,0.266667,OP1,scripted,OP1,1,0
8,1,103.257,300.069,403,28,0,4.98485,2.63874,0.191667,OP1,scripted,OP1,2,0
9,1,179.487,300.069,393,32,0,4.37702,2.85091,0.216667,OP1,scripted,OP1,2,0
10,0,,300.069,439,25,0,3.97179,2.47534,0.233333,OP1,scripted,OP1,0,0
11,1,160.083,300.069,398,44,0,3.88158,2.6613,0.241667,OP1,scripted,OP1,1,0
12,1,106.722,300.069,396,29,0,3.82976,2.20825,0.166667,OP1,scripted,OP1,1,0
13,1,211.365,300.069,401,37,0,4.98906,2.83297,0.2,OP1,scripted,OP1,1,0
14,1,76.23,300.069,423,25,0,5.08881,3.23237,0.25,OP1,scripted,OP1,2,0
15,1,110.187,300.069,383,23,0,4.57338,2.83343,0.191667,OP1,scripted,OP1,1,0
16,1,47.124,300.069,402,39,0,4.69612,2.86936,0.0916667,OP1,scripted,OP1,2,0
17,0,,300.069,425,19,0,4.63048,2.5993,0.191667,OP1,scripted,OP1,0,0
18,1,132.363,300.069,405,39,0,4.96993,3.29749,0.208333,OP1,scripted,OP1,1,0
19,1,266.805,300.069,399,25,0,4.55321,2.73046,0.225,OP1,scripted,OP1,1,0
20,1,198.198,300.069,409,39,0,4.11787,2.50914,0.258333,OP1,scripted,OP1,1,0
21,1,41.58,300.069,18,402,0,5.00492,2.7682,0.275,OP1,scripted,OP1,1,0
22,1,58.212,300.069,394,46,0,4.27083,2.73876,0.141667,OP1,scripted,OP1,2,0
23,1,132.363,300.069,368,39,0,4.77583,2.84098,0.316667,OP1,scripted,OP1,1,0
24,0,,300.069,411,39,0,3.95439,2.36941,0.233333,OP1,scripted,OP1,0,0
25,0,,300.069,433,22,0,4.29238,2.78743,0.2,OP1,scripted,OP1,0,0
26,1,55.44,266.112,322,23,0,4.62115,2.58749,0.25,OP1,scripted,OP1,3,0
27,1,49.203,300.069,390,37,0,3.87641,2.62482,0.125,OP1,scripted,OP1,2,0
28,0,,300.069,418,16,0,4.58292,2.55783,0.141667,OP1,scripted,OP1,0,0
29,1,15.939,189.189,204,21,0,3.81685,2.74823,0.108333,OP1,scripted,OP1,3,0
30,1,143.451,230.076,273,26,0,4.85675,2.77743,0.208333,OP1,scripted,OP1,3,0
31,1,152.46,300.069,408,37,0,4.72963,2.81558,0.258333,OP1,scripted,OP1,2,0
32,1,265.419,300.069,381,28,0,4.95371,3.04585,0.241667,OP1,scripted,OP1,1,0
33,0,,300.069,429,33,0,4.74493,2.76633,0.241667,OP1,scripted,OP1,0,0
34,1,122.661,300.069,416,34,0,4.13565,2.71981,0.183333,OP1,scripted,OP1,1,0
35,1,198.891,300.069,25,418,0,3.84229,2.47664,0.208333,OP1,scripted,OP1,1,0
36,1,160.083,300.069,410,29,0,4.28348,2.77517,0.125,OP1,scripted,OP1,1,0
37,1,137.907,300.069,31,390,0,4.27466,2.4712,0.158333,OP1,scripted,OP1,2,0
38,0,,300.069,426,32,0,4.22799,2.48821,0.25,OP1,scripted,OP1,0,0
39,1,203.742,300.069,415,20,0,5.03341,2.96659,0.175,OP1,scripted,OP1,1,0
40,0,,300.069,441,41,0,3.65333,2.46902,0.133333,OP1,scripted,OP1,0,0
41,1,76.23,300.069,411,30,0,4.086,2.66893,0.275,OP1,scripted,OP1,2,0
42,1,37.422,300.069,381,37,0,4.64512,2.74513,0.183333,OP1,scripted,OP1,2,0
43,1,238.392,300.069,419,57,0,4.51362,3.03635,0.233333,OP1,scripted,OP1,1,0
44,1,109.494,300.069,382,19,0,5.44922,2.76146,0.275,OP1,scripted,OP1,1,0
45,1,47.124,300.069,408,23,0,4.75418,3.0012,0.291667,OP1,scripted,OP1,2,0
