episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score,opponent_switch_count
1,1,58.212,300.069,27,412,0,3.70594,2.44686,0.191667,OP1,scripted,OP1,1,0,0
2,0,,300.069,427,34,0,4.62294,2.78087,0.2,OP1,scripted,OP1,0,0,0
3,0,,300.069,412,22,0,4.09811,2.28271,0.158333,OP1,scripted,OP1,0,0,0
4,1,185.031,300.069,411,50,0,4.34259,2.90053,0.233333,OP1,scripted,OP1,1,0,0
5,1,41.58,275.121,28,329,0,4.88108,2.79654,0.25,OP1,scripted,OP1,3,0,0
6,1,44.352,300.069,410,23,0,4.11897,2.58414,0.166667,OP1,scripted,OP1,1,0,0
7,1,72.072,300.069,352,18,0,5.21639,2.704,0.166667,OP1,scripted,OP1,2,0,0
8,1,279.279,300.069,406,33,0,4.523,2.66452,0.216667,OP1,scripted,OP1,1,0,0
9,1,143.451,300.069,396,37,0,3.76685,2.45999,0.191667,OP1,scripted,OP1,2,0,0
10,0,,300.069,429,27,0,4.57751,2.99449,0.2,OP1,scripted,OP1,0,0,0
11,1,124.047,300.069,407,40,0,3.80931,2.42126,0.208333,OP1,scripted,OP1,1,0,0
12,1,139.986,300.069,403,26,0,3.71765,2.43003,0.15,OP1,scripted,OP1,2,0,0
13,1,54.054,168.399,187,22,0,4.81191,3.26896,0.141667,OP1,scripted,OP1,3,0,0
14,1,248.094,300.069,398,27,0,4.36386,2.87163,0.183333,OP1,scripted,OP1,1,0,0
15,1,88.011,300.069,39,396,0,4.04543,2.68518,0.175,OP1,scripted,OP1,2,0,0
16,0,,300.069,429,26,0,4.49918,2.84403,0.175,OP1,scripted,OP1,0,0,0
17,1,40.194,185.031,26,197,0,4.98308,3.05896,0.166667,OP1,scripted,OP1,3,0,0
18,0,,300.069,425,27,0,4.53421,2.67575,0.166667,OP1,scripted,OP1,0,0,0
19,1,67.914,300.069,384,44,0,3.87846,2.37545,0.25,OP1,scripted,OP1,2,0,0
20,1,137.214,300.069,392,24,0,4.61522,2.86258,0.241667,OP1,scripted,OP1,2,0,0
21,1,40.194,258.489,274,27,0,4.7556,2.87695,0.133333,OP1,scripted,OP1,3,0,0
22,1,97.713,295.911,350,44,0,4.72563,3.3014,0.25,OP1,scripted,OP1,3,0,0
23,1,106.029,293.139,152,259,0,4.87777,2.89154,0.133333,OP1,scripted,OP1,3,0,0
24,0,,300.069,410,16,0,4.43052,2.56394,0.283333,OP1,scripted,OP1,0,0,0
25,1,268.884,300.069,25,405,0,5.10239,2.57548,0.158333,OP1,scripted,OP1,1,0,0
26,1,22.176,300.069,426,32,0,4.29039,2.72742,0.191667,OP1,scripted,OP1,1,0,0
27,1,70.686,300.069,418,25,0,4.83187,2.72334,0.208333,OP1,scripted,OP1,1,0,0
28,1,38.808,300.069,393,32,0,4.43301,2.54596,0.25,OP1,scripted,OP1,2,0,0
29,1,111.573,300.069,404,18,0,5.62804,3.08484,0.408333,OP1,scripted,OP1,1,0,0
30,1,30.492,300.069,404,29,0,4.56679,2.7689,0.175,OP1,scripted,OP1,1,0,0
