episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score,opponent_switch_count,vec_schema_version
1,0,14.553,36.036,13,6,0,4.97043,2.98992,0.175,OP3,scripted,OP3,0,3,0,1
2,0,14.553,37.422,12,3,0,4.03678,2.1594,0.191667,OP3,scripted,OP3,0,3,0,1
3,0,15.939,38.808,11,4,0,4.91793,3.13541,0.191667,OP3,scripted,OP3,1,3,0,1
4,0,17.325,39.501,10,7,0,4.24336,2.74651,0.183333,OP3,scripted,OP3,0,3,0,1
5,0,14.553,40.194,8,4,0,5.85628,3.69341,0.191667,OP3,scripted,OP3,1,3,0,1
6,0,13.167,38.808,10,3,0,5.6563,3.3018,0.133333,OP3,snapshot,,1,3,1,1
7,0,11.781,40.194,7,5,0,4.25741,2.3466,0.166667,OP3,snapshot,,1,3,1,1
8,1,15.246,56.133,16,4,0,5.85222,3.30136,0.141667,OP3,snapshot,,3,2,1,1
9,0,19.404,49.203,14,3,0,6.46,3.5944,0.275,OP3,snapshot,,2,3,1,1
10,0,19.404,54.054,18,9,0,5.42679,2.96792,0.208333,OP3,snapshot,,1,3,1,1
11,0,12.474,41.58,16,3,0,5.02451,3.44003,0.175,OP3,snapshot,,1,3,1,1
12,0,11.781,67.914,25,5,0,5.06059,3.68313,0.241667,OP3,snapshot,,2,3,1,1
13,1,14.553,49.896,15,7,0,4.62516,2.45891,0.15,OP3,snapshot,,3,2,1,1
14,0,15.939,52.668,12,7,0,4.06019,2.35523,0.25,OP3,snapshot,,1,3,1,1
15,1,12.474,57.519,20,5,0,6.12022,4.41461,0.175,OP3,snapshot,,3,2,1,1
16,1,10.395,54.054,12,4,0,5.19056,3.18877,0.208333,OP3,snapshot,,3,2,1,1
17,0,12.474,48.51,11,3,0,4.09537,2.12931,0.25,OP3,snapshot,,1,3,1,1
18,1,21.483,56.826,14,3,0,6.07633,3.38487,0.266667,OP3,snapshot,,3,2,1,1
19,1,15.939,46.431,14,3,0,6.09791,3.3897,0.15,OP3,snapshot,,3,2,1,1
20,0,9.702,58.212,8,7,0,6.05253,2.8615,0.175,OP3,snapshot,,1,3,1,1
21,0,13.167,47.817,13,3,0,5.3435,3.43279,0.2,OP3,snapshot,,0,3,1,1
22,0,15.246,58.212,16,7,0,5.96775,3.62557,0.25,OP3,snapshot,,2,3,1,1
23,0,11.088,35.343,13,0,0,5.32528,2.8249,0.1,OP3,snapshot,,1,3,1,1
24,0,18.711,63.063,17,6,0,5.95631,3.33134,0.225,OP3,snapshot,,2,3,1,1
25,0,18.018,48.51,10,7,0,4.59334,2.14813,0.158333,OP3,snapshot,,1,3,1,1
26,0,10.395,38.808,16,4,0,6.2699,3.64177,0.125,OP3,snapshot,,0,3,1,1
27,0,16.632,62.37,23,3,0,6.97409,3.70439,0.241667,OP3,snapshot,,2,3,1,1
28,0,15.246,50.589,16,2,0,5.00074,2.56831,0.233333,OP3,snapshot,,1,3,1,1
29,1,15.939,45.045,13,2,0,5.03044,2.40763,0.175,OP3,snapshot,,3,2,1,1
30,0,11.781,47.124,15,0,0,5.55139,3.14909,0.241667,OP3,snapshot,,0,3,2,1
31,0,17.325,50.589,11,5,0,4.75256,3.16054,0.183333,OP3,snapshot,,1,3,2,1
32,0,13.86,66.528,27,7,0,6.10047,3.55796,0.166667,OP3,snapshot,,2,3,2,1
33,1,10.395,39.501,13,4,0,4.77734,3.03615,0.15,OP3,snapshot,,3,2,2,1
34,0,13.167,46.431,18,2,0,4.9685,3.15758,0.183333,OP3,snapshot,,2,3,2,1
35,0,11.781,48.51,16,8,0,5.39133,2.99797,0.216667,OP3,snapshot,,2,3,2,1
36,0,22.176,68.607,14,9,0,5.42096,3.34828,0.191667,OP3,snapshot,,2,3,2,1
37,1,12.474,58.212,26,5,0,5.99507,3.52019,0.158333,OP3,snapshot,,3,2,2,1
38,1,10.395,65.142,30,6,0,4.95919,3.32015,0.183333,OP3,snapshot,,3,2,2,1
39,0,10.395,52.668,20,4,0,6.14194,3.55756,0.141667,OP3,snapshot,,2,3,2,1
40,1,24.255,60.984,22,2,0,5.01547,3.33463,0.216667,OP3,snapshot,,3,0,2,1
