condition,map_set,opponent,episodes,success_rate,return_mean,win_margin_mean,strategy_switches_mean,strategy_resample_rate_mean
fixed_z0,eval,OP5,16,0.1875,-10.251173483020011,-1.0,0.0,0.0
fixed_z0,eval,OP6,16,0.625,-8.838911587480197,0.4375,0.0,0.0
fixed_z0,eval,OP7,16,0.75,-8.62876216291886,0.875,0.0,0.0
fixed_z3,eval,OP5,16,0.25,-9.118005110401555,-0.5625,0.0,0.0
fixed_z3,eval,OP6,16,0.5625,-9.812554575581487,0.125,0.0,0.0
fixed_z3,eval,OP7,16,0.5,-12.368722028832508,0.3125,0.0,0.0
learned_qphi_switching,eval,OP5,16,0.1875,-8.226413075695291,-0.875,2.1875,0.03488481033584739
learned_qphi_switching,eval,OP6,16,0.3125,-8.964067998193514,-0.5,2.375,0.03457954136837678
learned_qphi_switching,eval,OP7,16,0.625,-10.705905526922322,0.6875,2.375,0.03477935458018039
posthoc_episode_oracle,eval,OP5,16,0.3125,-7.70119496292682,-0.375,0.0,0.0
posthoc_episode_oracle,eval,OP6,16,0.8125,-7.236531619914729,0.75,0.0,0.0
posthoc_episode_oracle,eval,OP7,16,0.8125,-7.474775868248798,1.1875,0.0,0.0
posthoc_global_fixed_oracle,eval,OP5,16,0.1875,-10.251173483020011,-1.0,0.0,0.0
posthoc_global_fixed_oracle,eval,OP6,16,0.625,-8.838911587480197,0.4375,0.0,0.0
posthoc_global_fixed_oracle,eval,OP7,16,0.75,-8.62876216291886,0.875,0.0,0.0
posthoc_opponent_oracle,eval,OP5,16,0.25,-9.118005110401555,-0.5625,0.0,0.0
posthoc_opponent_oracle,eval,OP6,16,0.625,-8.838911587480197,0.4375,0.0,0.0
posthoc_opponent_oracle,eval,OP7,16,0.75,-8.62876216291886,0.875,0.0,0.0
preselected_global_fixed_z,eval,OP5,16,0.1875,-10.251173483020011,-1.0,0.0,0.0
preselected_global_fixed_z,eval,OP6,16,0.625,-8.838911587480197,0.4375,0.0,0.0
preselected_global_fixed_z,eval,OP7,16,0.75,-8.62876216291886,0.875,0.0,0.0
preselected_per_opponent_fixed_z,eval,OP5,16,0.1875,-10.251173483020011,-1.0,0.0,0.0
preselected_per_opponent_fixed_z,eval,OP6,16,0.625,-8.838911587480197,0.4375,0.0,0.0
preselected_per_opponent_fixed_z,eval,OP7,16,0.75,-8.62876216291886,0.875,0.0,0.0
qphi_initial_only_no_switch,eval,OP5,16,0.25,-9.118005110401555,-0.5625,0.0,0.008778559460969768
qphi_initial_only_no_switch,eval,OP6,16,0.5625,-9.812554575581487,0.125,0.0,0.008198991628231268
qphi_initial_only_no_switch,eval,OP7,16,0.5,-12.368722028832508,0.3125,0.0,0.007458030793944019
shuffled_qphi_outputs,eval,OP5,16,0.5,-8.678342254279414,-0.5625,1.875,0.03416385943494056
shuffled_qphi_outputs,eval,OP6,16,0.4375,-9.225312361974659,-0.0625,2.1875,0.034652651508268004
shuffled_qphi_outputs,eval,OP7,16,0.5,-9.123954683803674,0.0625,1.8125,0.03448894142562947
uniform_episode_fixed,eval,OP5,16,0.1875,-10.53538193047416,-0.875,0.0,0.008036684880255676
uniform_episode_fixed,eval,OP6,16,0.4375,-10.072351359885033,-0.125,0.0,0.008255181283409978
uniform_episode_fixed,eval,OP7,16,0.625,-9.346676425092483,0.625,0.0,0.007916158304246934
uniform_random_at_router_opportunities,eval,OP5,16,0.3125,-8.62021749750238,-0.5,1.5,0.03528348163336513
uniform_random_at_router_opportunities,eval,OP6,16,0.6875,-10.761305171909044,0.5625,1.9375,0.03505022130484258
uniform_random_at_router_opportunities,eval,OP7,16,0.8125,-10.082949291394925,1.125,2.0,0.03581677639363641
