opponent,seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
OP5,2000,0,0,0,3,-1,0,-0.12682069838047028,0.04126089811325073,0.007975231856107712,0.1314428299665451,0.2163558006286621,0.25595608353614807,0.24757663905620575,0.28011152148246765
OP5,2000,0,1,32,1,3,1,-0.08112987875938416,0.023728463798761368,-0.03228861093521118,0.0049156807363033295,0.2352684885263443,0.2612781822681427,0.24704454839229584,0.25640878081321716
OP5,2000,0,2,64,1,1,0,-0.02027282863855362,0.05863748490810394,-0.059263601899147034,0.012156076729297638,0.24528878927230835,0.2654287815093994,0.2359088510274887,0.2533736228942871
OP5,2000,0,3,96,3,1,1,-0.09714023768901825,0.019136421382427216,-0.04548225551843643,0.070892333984375,0.22939476370811462,0.25768065452575684,0.24155627191066742,0.2713683247566223
OP5,2000,0,4,128,3,3,0,-0.02849671058356762,0.018734082579612732,-0.07317401468753815,0.04259565845131874,0.24519716203212738,0.2570558488368988,0.234483540058136,0.26326340436935425
OP5,2001,0,0,0,3,3,0,-0.13292157649993896,0.04654022306203842,-0.003062032163143158,0.1283332258462906,0.21580559015274048,0.2582271695137024,0.24573104083538055,0.2802361845970154
OP5,2001,0,1,32,1,3,1,-0.08885321021080017,0.1041351854801178,-0.02600272372364998,0.02672896906733513,0.22725914418697357,0.2756355106830597,0.24200089275836945,0.2551044523715973
OP5,2001,0,2,64,1,1,0,-0.06456699967384338,0.06769845634698868,-0.049735233187675476,0.048921097069978714,0.23383432626724243,0.2669011354446411,0.23732833564281464,0.2619361877441406
OP5,2001,0,3,96,1,1,0,-0.07131032645702362,0.07948054373264313,-0.03914257511496544,0.0610087551176548,0.23057855665683746,0.26810601353645325,0.23811635375022888,0.2631990611553192
OP5,2002,0,0,0,3,1,1,-0.1305226981639862,0.03905831277370453,0.0070234984159469604,0.13086168467998505,0.2159365564584732,0.2558434307575226,0.24777741730213165,0.28044256567955017
OP5,2002,0,1,32,1,3,1,-0.10223028063774109,0.09284675121307373,-0.022833459079265594,0.02617683634161949,0.22547639906406403,0.27404505014419556,0.24410836398601532,0.2563702166080475
OP5,2002,0,2,64,1,1,0,-0.061629023402929306,0.0831575021147728,-0.04064731299877167,0.047703180462121964,0.23296290636062622,0.2692568302154541,0.23790250718593597,0.2598777711391449
OP5,2002,0,3,96,3,1,1,-0.07886078953742981,0.013582228682935238,-0.05761169269680977,0.044738706201314926,0.2353002429008484,0.25808921456336975,0.24035364389419556,0.2662569284439087
OP5,2002,0,4,128,1,3,1,-0.04108194261789322,0.04681289941072464,-0.06276369094848633,-0.002616308629512787,0.24333031475543976,0.26568588614463806,0.23811128735542297,0.2528725266456604
OP5,2002,0,5,160,3,1,1,-0.0486115887761116,0.02057960070669651,-0.08862946927547455,0.05596790090203285,0.24139097332954407,0.2586844861507416,0.23192176222801208,0.26800277829170227
OP5,2003,0,0,0,3,3,0,-0.13968245685100555,0.043238431215286255,-0.005658205598592758,0.11774037778377533,0.21562261879444122,0.25890228152275085,0.24654734134674072,0.2789277136325836
OP5,2003,0,1,32,1,3,1,-0.04469914361834526,0.030944205820560455,-0.05573015287518501,0.0041704922914505005,0.24285456538200378,0.26193755865097046,0.24019034206867218,0.25501754879951477
OP5,2003,0,2,64,1,1,0,-0.08553779125213623,0.09310442954301834,-0.019604643806815147,0.06892572343349457,0.22569389641284943,0.26983803510665894,0.24107614159584045,0.2633919417858124
OP5,2003,0,3,96,3,1,1,-0.08137929439544678,0.02068653330206871,-0.059063173830509186,0.05329269543290138,0.233962744474411,0.2591035068035126,0.2392425835132599,0.26769113540649414
OP5,2004,0,0,0,3,3,0,-0.15078383684158325,0.048186954110860825,-0.0033628158271312714,0.1212124228477478,0.21314826607704163,0.26007208228111267,0.24700510501861572,0.27977457642555237
OP5,2004,0,1,32,1,3,1,-0.053590185940265656,0.05501624196767807,-0.0436297282576561,0.005811091512441635,0.23889528214931488,0.2663021683692932,0.24128666520118713,0.2535158693790436
OP5,2004,0,2,64,3,1,1,-0.06020234525203705,0.035257961601018906,-0.08000384271144867,0.06389269232749939,0.23737846314907074,0.26115551590919495,0.23272427916526794,0.26874175667762756
OP5,2004,0,3,96,1,3,1,-0.07024209946393967,0.0655832290649414,-0.038969993591308594,0.050564806908369064,0.23225270211696625,0.26604124903678894,0.23963049054145813,0.2620755732059479
OP5,2005,0,0,0,3,1,1,-0.1502862572669983,0.04030343517661095,0.002279333770275116,0.1287640482187271,0.21291746199131012,0.25762221217155457,0.2480102777481079,0.2814500331878662
OP5,2005,0,1,32,1,3,1,-0.06992661952972412,0.02782713621854782,-0.03178596496582031,0.0065148137509822845,0.23691025376319885,0.26123887300491333,0.24612072110176086,0.25573018193244934
OP5,2005,0,2,64,1,1,0,-0.04104643315076828,0.08028548955917358,-0.024027228355407715,0.06389105319976807,0.23491795361042023,0.2652222812175751,0.23895028233528137,0.2609095275402069
OP5,2005,0,3,96,1,1,0,-0.05707669258117676,0.0776166021823883,-0.048201464116573334,0.05278760567307472,0.23423442244529724,0.26800769567489624,0.2363225668668747,0.26143527030944824
OP5,2006,0,0,0,3,1,1,-0.13694995641708374,0.05025779828429222,0.0009755939245223999,0.12704215943813324,0.21478188037872314,0.2590007185935974,0.24654601514339447,0.2796713411808014
OP5,2006,0,1,32,1,3,1,-0.07525062561035156,0.025746211409568787,-0.02351287752389908,0.009197112172842026,0.23543323576450348,0.260453462600708,0.24793462455272675,0.2561786472797394
OP5,2006,0,2,64,3,1,1,-0.0617755725979805,0.008666401728987694,-0.06199587509036064,0.045119475573301315,0.2389155477285385,0.25635215640068054,0.23886293172836304,0.2658694088459015
OP5,2006,0,3,96,1,3,1,-0.013278806582093239,0.08208632469177246,-0.0172775536775589,0.009765170514583588,0.24275492131710052,0.2670450806617737,0.2417861372232437,0.24841389060020447
OP5,2007,0,0,0,3,1,1,-0.12083832919597626,0.041776761412620544,0.006374917924404144,0.1317315548658371,0.21741151809692383,0.25580286979675293,0.2469053566455841,0.27988022565841675
OP5,2007,0,1,32,1,3,1,-0.09271220862865448,0.08732392638921738,-0.03378148376941681,0.03702758625149727,0.22745394706726074,0.2723216414451599,0.24126079678535461,0.25896358489990234
OP5,2007,0,2,64,3,1,1,-0.06188567727804184,0.001829349435865879,-0.04795863851904869,0.037859801203012466,0.23896558582782745,0.25468680262565613,0.24231696128845215,0.2640306055545807
OP5,2007,0,3,96,3,3,0,-0.04824808984994888,0.007000955753028393,-0.06355476379394531,0.032455626875162125,0.24238525331020355,0.2561536431312561,0.2387034147977829,0.26275765895843506
OP5,2008,0,0,0,3,3,0,-0.14722374081611633,0.04674627631902695,-0.002732072025537491,0.12162308394908905,0.2137680947780609,0.2595272362232208,0.24699877202510834,0.27970585227012634
OP5,2008,0,1,32,1,3,1,-0.05557553470134735,0.04870852082967758,-0.039194945245981216,0.018246475607156754,0.23792268335819244,0.2640741169452667,0.24185208976268768,0.2561511695384979
OP5,2008,0,2,64,1,1,0,-0.07942354679107666,0.0889492928981781,-0.01270357146859169,0.07744041085243225,0.22613124549388885,0.2675986886024475,0.24173343181610107,0.264536589384079
OP5,2008,0,3,96,3,1,1,-0.028452396392822266,0.0268789604306221,-0.08215953409671783,0.04638974741101265,0.24495907127857208,0.25889497995376587,0.23215007781982422,0.26399582624435425
OP5,2009,0,0,0,3,3,0,-0.13659431040287018,0.04620935022830963,-0.005813248455524445,0.1217825710773468,0.2157439887523651,0.25901761651039124,0.24588733911514282,0.2793510854244232
OP5,2009,0,1,32,1,3,1,-0.08372198045253754,0.09696242213249207,-0.03730244189500809,0.04032816365361214,0.22843444347381592,0.2736729085445404,0.23928824067115784,0.25860437750816345
OP5,2009,0,2,64,3,1,1,-0.04582664743065834,0.043547891080379486,-0.07156850397586823,0.048203129321336746,0.23999986052513123,0.26243746280670166,0.23390065133571625,0.26366204023361206
OP5,2009,0,3,96,3,3,0,-0.062322940677404404,0.01568901538848877,-0.08634491264820099,0.04520373418927193,0.23975522816181183,0.25920793414115906,0.23406445980072021,0.2669723927974701
OP5,2010,0,0,0,3,3,0,-0.14055025577545166,0.040502581745386124,-0.003070186823606491,0.12755171954631805,0.21489951014518738,0.25755244493484497,0.24657116830348969,0.28097692131996155
OP5,2010,0,1,32,1,3,1,-0.07512395083904266,0.09450467675924301,-0.01959420181810856,0.03549856320023537,0.22941364347934723,0.2718241214752197,0.2425132691860199,0.2562488913536072
