condition,map_set,opponent,episodes,success_rate,return_mean,win_margin_mean,strategy_switches_mean,strategy_resample_rate_mean
fixed_z0,eval,OP5,16,0.4375,-6.751880074348719,-0.1875,0.0,0.0
fixed_z0,eval,OP6,16,0.5,-7.406943157990099,0.375,0.0,0.0
fixed_z0,eval,OP7,16,0.8125,-8.277736558390416,0.9375,0.0,0.0
fixed_z3,eval,OP5,16,0.6875,-7.699613243677959,0.3125,0.0,0.0
fixed_z3,eval,OP6,16,0.4375,-9.408077943762635,0.1875,0.0,0.0
fixed_z3,eval,OP7,16,0.8125,-10.26379305426508,1.25,0.0,0.0
learned_qphi_switching,eval,OP5,16,0.0625,-7.318376436986455,-1.4375,1.875,0.03604786366153848
learned_qphi_switching,eval,OP6,16,0.3125,-8.59052724496405,-0.5625,2.0625,0.03454997637302095
learned_qphi_switching,eval,OP7,16,0.5,-11.812458325931857,0.0625,2.25,0.0340443681595865
posthoc_episode_oracle,eval,OP5,16,0.8125,-5.19669978961565,0.8125,0.0,0.0
posthoc_episode_oracle,eval,OP6,16,0.625,-6.648407935792875,0.8125,0.0,0.0
posthoc_episode_oracle,eval,OP7,16,0.875,-6.295898924102175,1.5,0.0,0.0
posthoc_global_fixed_oracle,eval,OP5,16,0.4375,-6.751880074348719,-0.1875,0.0,0.0
posthoc_global_fixed_oracle,eval,OP6,16,0.5,-7.406943157990099,0.375,0.0,0.0
posthoc_global_fixed_oracle,eval,OP7,16,0.8125,-8.277736558390416,0.9375,0.0,0.0
posthoc_opponent_oracle,eval,OP5,16,0.4375,-6.751880074348719,-0.1875,0.0,0.0
posthoc_opponent_oracle,eval,OP6,16,0.5,-7.406943157990099,0.375,0.0,0.0
posthoc_opponent_oracle,eval,OP7,16,0.8125,-8.277736558390416,0.9375,0.0,0.0
preselected_global_fixed_z,eval,OP5,16,0.4375,-6.751880074348719,-0.1875,0.0,0.0
preselected_global_fixed_z,eval,OP6,16,0.5,-7.406943157990099,0.375,0.0,0.0
preselected_global_fixed_z,eval,OP7,16,0.8125,-8.277736558390416,0.9375,0.0,0.0
preselected_per_opponent_fixed_z,eval,OP5,16,0.6875,-7.699613243677959,0.3125,0.0,0.0
preselected_per_opponent_fixed_z,eval,OP6,16,0.5,-7.406943157990099,0.375,0.0,0.0
preselected_per_opponent_fixed_z,eval,OP7,16,0.8125,-8.277736558390416,0.9375,0.0,0.0
qphi_initial_only_no_switch,eval,OP5,16,0.6875,-7.699613243677959,0.3125,0.0,0.009308055284530051
qphi_initial_only_no_switch,eval,OP6,16,0.4375,-9.408077943762635,0.1875,0.0,0.008297717079051067
qphi_initial_only_no_switch,eval,OP7,16,0.8125,-10.26379305426508,1.25,0.0,0.00844894002481204
shuffled_qphi_outputs,eval,OP5,16,0.25,-8.868681035527516,-1.0625,2.25,0.03513275129394849
shuffled_qphi_outputs,eval,OP6,16,0.3125,-10.160225045691277,-0.6875,1.9375,0.033952427685454964
shuffled_qphi_outputs,eval,OP7,16,0.5625,-10.306828123816103,0.4375,3.0625,0.034621261109762366
uniform_episode_fixed,eval,OP5,16,0.8125,-6.595767289198193,0.6875,0.0,0.009333199582434235
uniform_episode_fixed,eval,OP6,16,0.4375,-9.088184062850758,0.25,0.0,0.008433157635879882
uniform_episode_fixed,eval,OP7,16,0.8125,-8.107523353736497,1.0625,0.0,0.008668933353197966
uniform_random_at_router_opportunities,eval,OP5,16,0.4375,-8.471710429628729,-0.25,1.6875,0.03476229330291829
uniform_random_at_router_opportunities,eval,OP6,16,0.6875,-7.586626060295657,0.6875,1.5625,0.03502634476702481
uniform_random_at_router_opportunities,eval,OP7,16,0.625,-9.686149442936767,0.5,2.125,0.03465939768923724
