condition,opponent,seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
learned_qphi_switching,OP5,2000,0,0,0,3,-1,0,-0.14084039628505707,0.04611728712916374,-0.00058722123503685,0.11999280750751495,0.2148618996143341,0.25903239846229553,0.24721260368824005,0.2788931429386139
learned_qphi_switching,OP5,2000,0,1,32,3,3,0,-0.08547666668891907,0.05614921450614929,-0.04521643742918968,0.0636403039097786,0.22967198491096497,0.264615535736084,0.23910726606845856,0.2666052281856537
learned_qphi_switching,OP5,2000,0,2,64,1,3,1,-0.005502883344888687,0.06589985638856888,-0.04325518012046814,-0.01695428602397442,0.24841144680976868,0.2667973041534424,0.2392081618309021,0.24558302760124207
learned_qphi_switching,OP5,2000,0,3,96,3,1,1,-0.0491739958524704,0.0035323183983564377,-0.014004141092300415,0.05531606078147888,0.238091841340065,0.2509773373603821,0.2466144859790802,0.26431629061698914
learned_qphi_switching,OP5,2001,0,0,0,3,3,0,-0.13616228103637695,0.04987537860870361,0.00016120076179504395,0.10994754731655121,0.21600322425365448,0.2601689100265503,0.2475510537624359,0.2762767970561981
learned_qphi_switching,OP5,2001,0,1,32,1,3,1,-0.08969198167324066,0.048356927931308746,-0.03360337018966675,0.04362504184246063,0.22997307777404785,0.26401636004447937,0.24324055016040802,0.26277002692222595
learned_qphi_switching,OP5,2001,0,2,64,1,1,0,-0.0030823294073343277,0.08416353166103363,-0.008164137601852417,0.03610706329345703,0.24236175417900085,0.2644566297531128,0.24113325774669647,0.2520483434200287
learned_qphi_switching,OP5,2001,0,3,96,3,1,1,-0.04850761219859123,0.059704214334487915,-0.05700860917568207,0.06995964795351028,0.23631787300109863,0.26332515478134155,0.23431743681430817,0.26603958010673523
learned_qphi_switching,OP5,2001,0,4,128,3,3,0,-0.07519231736660004,0.017281927168369293,-0.05826950445771217,0.07714469730854034,0.23372653126716614,0.25637108087539673,0.23771551251411438,0.27218684554100037
learned_qphi_switching,OP5,2001,0,5,160,3,3,0,-0.026186995208263397,-0.00111429113894701,-0.06478893756866455,0.026518195867538452,0.2474241852760315,0.2537061870098114,0.23805512487888336,0.26081448793411255
learned_qphi_switching,OP5,2002,0,0,0,3,3,0,-0.12232906371355057,0.04932188242673874,0.005409326404333115,0.12416395545005798,0.21724726259708405,0.2579297423362732,0.2468484789133072,0.2779744863510132
learned_qphi_switching,OP5,2002,0,1,32,3,3,0,-0.11206809431314468,0.03861662372946739,-0.03784046694636345,0.04871918261051178,0.22654587030410767,0.26338905096054077,0.24400167167186737,0.2660634219646454
learned_qphi_switching,OP5,2002,0,2,64,1,3,1,-0.03352249786257744,0.08020587265491486,-0.01518687978386879,0.02259352058172226,0.23828400671482086,0.266984760761261,0.24269337952136993,0.2520378530025482
learned_qphi_switching,OP5,2002,0,3,96,1,1,0,-0.0638364851474762,0.09080256521701813,-0.028056275099515915,0.03119514137506485,0.23237666487693787,0.2712385356426239,0.24084167182445526,0.25554314255714417
learned_qphi_switching,OP5,2002,0,4,128,1,1,0,-0.057465795427560806,0.08756714314222336,-0.02855396643280983,0.04233771562576294,0.2330804020166397,0.2694590091705322,0.23991753160953522,0.25754305720329285
learned_qphi_switching,OP5,2002,0,5,160,3,1,1,-0.044398579746484756,0.02752470225095749,-0.078577920794487,0.03403225541114807,0.2425677478313446,0.2606567144393921,0.23441703617572784,0.26235848665237427
learned_qphi_switching,OP5,2003,0,0,0,3,3,0,-0.1342112123966217,0.04644284024834633,-0.0011232011020183563,0.12008731067180634,0.21598702669143677,0.25875258445739746,0.24673286080360413,0.27852749824523926
learned_qphi_switching,OP5,2003,0,1,32,1,3,1,-0.049464911222457886,0.04511810094118118,-0.05085055157542229,0.017126306891441345,0.23999957740306854,0.26380762457847595,0.23966725170612335,0.25652554631233215
learned_qphi_switching,OP5,2003,0,2,64,3,1,1,-0.037877850234508514,0.02589362859725952,-0.051582783460617065,0.03997133672237396,0.24194347858428955,0.25787514448165894,0.23865027725696564,0.26153114438056946
learned_qphi_switching,OP5,2003,0,3,96,1,3,1,-0.05576319992542267,0.07334458082914352,-0.02250177040696144,0.04883301258087158,0.23354141414165497,0.26572638750076294,0.24143996834754944,0.2592921853065491
learned_qphi_switching,OP5,2003,0,4,128,3,1,1,-0.035173118114471436,0.019100937992334366,-0.07637996971607208,0.0408405065536499,0.24423709511756897,0.25785917043685913,0.2343774139881134,0.2635262906551361
learned_qphi_switching,OP5,2004,0,0,0,3,3,0,-0.1399148553609848,0.04580939561128616,0.002122744917869568,0.12361980974674225,0.214673712849617,0.25848647952079773,0.24743719398975372,0.27940264344215393
learned_qphi_switching,OP5,2004,0,1,32,1,3,1,-0.07347479462623596,0.03521106392145157,-0.02067415788769722,0.006259933114051819,0.23518170416355133,0.26218342781066895,0.24793314933776855,0.25470173358917236
learned_qphi_switching,OP5,2004,0,2,64,1,1,0,-0.010131919756531715,0.04610983654856682,-0.07214337587356567,0.01621169224381447,0.2484830617904663,0.26285865902900696,0.2335423082113266,0.25511598587036133
learned_qphi_switching,OP5,2004,0,3,96,3,1,1,-0.022629544138908386,0.04472251236438751,-0.02421024814248085,0.06016409397125244,0.24070803821086884,0.2574786841869354,0.2403278648853302,0.26148539781570435
learned_qphi_switching,OP5,2005,0,0,0,3,3,0,-0.14339810609817505,0.04456852376461029,-0.0068944841623306274,0.11403870582580566,0.2152082324028015,0.2597118318080902,0.24668438732624054,0.27839553356170654
learned_qphi_switching,OP5,2005,0,1,32,1,3,1,-0.050164274871349335,0.05107596889138222,-0.04606186971068382,-0.002129010856151581,0.24039264023303986,0.26600465178489685,0.24138085544109344,0.2522217929363251
learned_qphi_switching,OP5,2005,0,2,64,3,1,1,-0.03851819038391113,0.023471539840102196,-0.06230306625366211,0.036766715347766876,0.24279870092868805,0.25832599401474,0.23709188401699066,0.2617834210395813
learned_qphi_switching,OP5,2005,0,3,96,1,3,1,-0.055111635476350784,0.06177660822868347,-0.027207182720303535,0.05017195641994476,0.23455916345119476,0.2636430263519287,0.24119657278060913,0.2606012225151062
learned_qphi_switching,OP5,2006,0,0,0,3,1,1,-0.1294102519750595,0.044729188084602356,0.0005036145448684692,0.12732623517513275,0.21637263894081116,0.25753137469291687,0.24639008939266205,0.27970588207244873
learned_qphi_switching,OP5,2006,0,1,32,1,3,1,-0.0470944419503212,0.039491668343544006,-0.062149256467819214,0.017974384129047394,0.24138639867305756,0.26321864128112793,0.23777958750724792,0.2576153874397278
learned_qphi_switching,OP5,2006,0,2,64,1,1,0,-0.04659898579120636,0.018168510869145393,-0.07465381175279617,0.014002982527017593,0.2438000589609146,0.2601129412651062,0.23705534636974335,0.2590316832065582
learned_qphi_switching,OP5,2006,0,3,96,3,1,1,-0.05547969788312912,0.012933763675391674,-0.06145089119672775,0.023366130888462067,0.24114444851875305,0.2582193911075592,0.239708811044693,0.26092731952667236
learned_qphi_switching,OP5,2006,0,4,128,3,3,0,-0.04679965600371361,0.02760143205523491,-0.04880926385521889,0.045220956206321716,0.239715114235878,0.25823041796684265,0.2392338514328003,0.26282060146331787
learned_qphi_switching,OP5,2007,0,0,0,3,3,0,-0.1377241313457489,0.05287526547908783,0.0017471611499786377,0.12156924605369568,0.21479257941246033,0.2598935663700104,0.24693968892097473,0.27837416529655457
learned_qphi_switching,OP5,2007,0,1,32,3,3,0,-0.10114029049873352,0.038733649998903275,-0.04064328968524933,0.058263108134269714,0.2280343472957611,0.26226887106895447,0.2422555685043335,0.26744118332862854
learned_qphi_switching,OP5,2007,0,2,64,1,3,1,-0.010356850922107697,0.0656617060303688,-0.034274980425834656,-0.0169155802577734,0.24698609113693237,0.26649367809295654,0.24114874005317688,0.245371475815773
learned_qphi_switching,OP5,2007,0,3,96,3,1,1,-0.06211259216070175,-0.004012072458863258,-0.043773192912340164,0.07141607999801636,0.23690035939216614,0.25107207894325256,0.2412850558757782,0.2707425057888031
learned_qphi_switching,OP5,2008,0,0,0,3,3,0,-0.1419382095336914,0.04576629772782326,-0.013020653277635574,0.11545774340629578,0.21562735736370087,0.26014941930770874,0.2452968806028366,0.2789263129234314
learned_qphi_switching,OP5,2008,0,1,32,1,3,1,-0.0707540512084961,0.07974501699209213,-0.030028484761714935,0.02396576851606369,0.23237809538841248,0.2701196074485779,0.24203720688819885,0.2554650604724884
learned_qphi_switching,OP5,2008,0,2,64,1,1,0,-0.04572686553001404,0.054953619837760925,-0.061922550201416016,0.03615747392177582,0.23951014876365662,0.26487985253334045,0.23566238582134247,0.25994762778282166
learned_qphi_switching,OP5,2008,0,3,96,3,1,1,-0.048775479197502136,0.009642337448894978,-0.08632678538560867,0.041299641132354736,0.24286231398582458,0.2574723958969116,0.2339116334915161,0.2657536566257477
learned_qphi_switching,OP5,2009,0,0,0,3,3,0,-0.12036801874637604,0.04991671442985535,0.0022200681269168854,0.11418004333972931,0.21832162141799927,0.25885137915611267,0.24679484963417053,0.27603214979171753
