condition,map_set,opponent,episodes,success_rate,return_mean,win_margin_mean,strategy_switches_mean,strategy_resample_rate_mean
fixed_z0,eval,OP5,16,0.3125,-8.92109586200013,-0.6875,0.0,0.0
fixed_z0,eval,OP6,16,0.25,-9.371395019579722,-0.375,0.0,0.0
fixed_z0,eval,OP7,16,0.75,-8.953501124934064,1.0,0.0,0.0
fixed_z3,eval,OP5,16,0.4375,-8.988633563288204,-0.25,0.0,0.0
fixed_z3,eval,OP6,16,0.6875,-8.704607670265432,0.6875,0.0,0.0
fixed_z3,eval,OP7,16,0.875,-11.370853737958441,1.4375,0.0,0.0
learned_qphi_switching,eval,OP5,16,0.125,-7.907670722088369,-1.4375,2.0625,0.036028100335862914
learned_qphi_switching,eval,OP6,16,0.4375,-7.903344131824724,0.125,2.0,0.035005335405556746
learned_qphi_switching,eval,OP7,16,0.6875,-11.469048354678307,0.75,2.6875,0.03397572361191326
posthoc_episode_oracle,eval,OP5,16,0.5,-7.629136186137657,-0.0625,0.0,0.0
posthoc_episode_oracle,eval,OP6,16,0.5625,-6.702161763342701,0.375,0.0,0.0
posthoc_episode_oracle,eval,OP7,16,0.9375,-7.633694358971297,1.5625,0.0,0.0
posthoc_global_fixed_oracle,eval,OP5,16,0.3125,-8.92109586200013,-0.6875,0.0,0.0
posthoc_global_fixed_oracle,eval,OP6,16,0.25,-9.371395019579722,-0.375,0.0,0.0
posthoc_global_fixed_oracle,eval,OP7,16,0.75,-8.953501124934064,1.0,0.0,0.0
posthoc_opponent_oracle,eval,OP5,16,0.3125,-8.92109586200013,-0.6875,0.0,0.0
posthoc_opponent_oracle,eval,OP6,16,0.6875,-8.704607670265432,0.6875,0.0,0.0
posthoc_opponent_oracle,eval,OP7,16,0.75,-8.953501124934064,1.0,0.0,0.0
preselected_global_fixed_z,eval,OP5,16,0.4375,-8.988633563288204,-0.25,0.0,0.0
preselected_global_fixed_z,eval,OP6,16,0.6875,-8.704607670265432,0.6875,0.0,0.0
preselected_global_fixed_z,eval,OP7,16,0.875,-11.370853737958441,1.4375,0.0,0.0
preselected_per_opponent_fixed_z,eval,OP5,16,0.3125,-8.92109586200013,-0.6875,0.0,0.0
preselected_per_opponent_fixed_z,eval,OP6,16,0.6875,-8.704607670265432,0.6875,0.0,0.0
preselected_per_opponent_fixed_z,eval,OP7,16,0.875,-11.370853737958441,1.4375,0.0,0.0
qphi_initial_only_no_switch,eval,OP5,16,0.4375,-8.988633563288204,-0.25,0.0,0.008892375271567164
qphi_initial_only_no_switch,eval,OP6,16,0.6875,-8.704607670265432,0.6875,0.0,0.00804447544664411
qphi_initial_only_no_switch,eval,OP7,16,0.875,-11.370853737958441,1.4375,0.0,0.007634828663456734
shuffled_qphi_outputs,eval,OP5,16,0.25,-9.619219767298887,-0.6875,2.375,0.034673650301544096
shuffled_qphi_outputs,eval,OP6,16,0.4375,-8.422303085891144,-0.3125,1.875,0.03512577486302601
shuffled_qphi_outputs,eval,OP7,16,0.75,-13.080730267665274,0.625,3.0625,0.033971462594858684
uniform_episode_fixed,eval,OP5,16,0.4375,-9.003980027856414,-0.25,0.0,0.008655952737410339
uniform_episode_fixed,eval,OP6,16,0.4375,-9.48812310400308,0.0,0.0,0.008478678814666393
uniform_episode_fixed,eval,OP7,16,0.8125,-9.837503858519085,1.1875,0.0,0.008206610295772451
uniform_random_at_router_opportunities,eval,OP5,16,0.3125,-8.758923248467454,-0.5625,1.1875,0.036505201578063626
uniform_random_at_router_opportunities,eval,OP6,16,0.5,-8.60118493508844,0.1875,1.3125,0.034839205277279475
uniform_random_at_router_opportunities,eval,OP7,16,0.875,-8.979810167207688,1.3125,1.6875,0.03573466489403043
