success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3,protocol_version,split,condition,latent_selection,fixed_latent_id,seed,environment_seed,test_seed,calibration_seed,initial_state_hash,action_sampling_seed,selector_seed,shuffle_seed,episode_index,episode_id,switch_opportunity_schedule_hash,map_set,map_layout,opponent,checkpoint,posthoc_only
0,2,3,98,-6.5899142556882,0.6800000071525574,0,-1,32.0,6.369381028778699,0.7073634590476754,0.5,0.04081632653061224,98.0,2,0.020618556701030927,4,0.04081632653061224,2,1.3850849307313258,3,0.0,0.32653061224489793,0.0,0.673469387755102,0.0,0.0,0.0,1.0,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,0.1388888888888889,0.0,0.8611111111111112,0.0,0.3793103448275862,0.0,0.6206896551724138,v6i4_router_ablation_v1,test,learned_qphi_switching,learned_qphi_switching,,2000,2000,2000,,378461b94eaf7e6d46eb7c1a25bb36140f29f27b87b3cb117e026b1da49b8adb,106729,9919,,1,1,11f8518f7f59e9140fb4cd831aa4228a3c3ddbbb1a5d79a99bc9d002c988e9f1,eval,map_b_split_lane_v2,OP5,checkpoints\4v4_phasea_window_router_z0_z3\final_v6i5_router_z0_z3_frozen_actor_516k_716k_OP5_OP6_OP7_4v4.zip,
1,3,1,176,-8.562177015119232,0.7199999690055847,0,2,38.0,6.615823225541548,0.6300479626960815,0.5227272727272727,0.03977272727272727,176.0,2,0.011428571428571429,6,0.03409090909090909,2,1.3848083899779753,3,0.0,0.36363636363636365,0.0,0.6363636363636364,0.0,0.13333333333333333,0.0,0.8666666666666667,0.0,0.9130434782608695,0.0,0.08695652173913043,0.0,0.0,0.0,1.0,0.0,0.40217391304347827,0.0,0.5978260869565217,v6i4_router_ablation_v1,test,learned_qphi_switching,learned_qphi_switching,,2001,2001,2001,,0b21ba198a80826d5a454d077b9cb479eb9e067eb36799c7870fc104e84258c5,106730,9920,,1,1,11f8518f7f59e9140fb4cd831aa4228a3c3ddbbb1a5d79a99bc9d002c988e9f1,eval,map_b_split_lane_v2,OP5,checkpoints\4v4_phasea_window_router_z0_z3\final_v6i5_router_z0_z3_frozen_actor_516k_716k_OP5_OP6_OP7_4v4.zip,
0,1,3,107,-8.734494670301501,0.5600000023841858,0,-2,36.0,6.860458801839953,0.1299042388567983,0.3364485981308411,0.24299065420560748,107.0,0,0.0,1,0.009345794392523364,1,1.3850472942690983,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,v6i4_router_ablation_v1,test,uniform_episode_fixed,uniform_episode_fixed,,2000,2000,2000,,378461b94eaf7e6d46eb7c1a25bb36140f29f27b87b3cb117e026b1da49b8adb,106729,9919,,1,1,11f8518f7f59e9140fb4cd831aa4228a3c3ddbbb1a5d79a99bc9d002c988e9f1,eval,map_b_split_lane_v2,OP5,checkpoints\4v4_phasea_window_router_z0_z3\final_v6i5_router_z0_z3_frozen_actor_516k_716k_OP5_OP6_OP7_4v4.zip,
1,3,0,145,-7.29035999057669,0.6800000071525574,0,3,38.0,5.216476124730604,0.18910428504146282,0.3586206896551724,0.027586206896551724,145.0,0,0.0,1,0.006896551724137931,1,1.384358364960243,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,1.0,v6i4_router_ablation_v1,test,uniform_episode_fixed,uniform_episode_fixed,,2001,2001,2001,,0b21ba198a80826d5a454d077b9cb479eb9e067eb36799c7870fc104e84258c5,106730,9920,,1,1,11f8518f7f59e9140fb4cd831aa4228a3c3ddbbb1a5d79a99bc9d002c988e9f1,eval,map_b_split_lane_v2,OP5,checkpoints\4v4_phasea_window_router_z0_z3\final_v6i5_router_z0_z3_frozen_actor_516k_716k_OP5_OP6_OP7_4v4.zip,
0,1,3,126,-11.877058211248368,0.5999999642372131,0,-2,36.0,6.703585185701885,0.044743227026109444,0.40476190476190477,0.1349206349206349,126.0,2,0.016,4,0.031746031746031744,2,1.3853541886995708,3,0.49206349206349204,0.0,0.0,0.5079365079365079,0.17647058823529413,0.0,0.0,0.8235294117647058,0.6764705882352942,0.0,0.0,0.3235294117647059,0.5625,0.0,0.0,0.4375,0.4186046511627907,0.0,0.0,0.5813953488372093,v6i4_router_ablation_v1,test,uniform_random_at_router_opportunities,uniform_random_at_router_opportunities,,2000,2000,2000,,378461b94eaf7e6d46eb7c1a25bb36140f29f27b87b3cb117e026b1da49b8adb,106729,9919,,1,1,11f8518f7f59e9140fb4cd831aa4228a3c3ddbbb1a5d79a99bc9d002c988e9f1,eval,map_b_split_lane_v2,OP5,checkpoints\4v4_phasea_window_router_z0_z3\final_v6i5_router_z0_z3_frozen_actor_516k_716k_OP5_OP6_OP7_4v4.zip,
1,3,0,103,-4.883567778182623,0.6399999856948853,0,3,38.0,4.677559861859072,0.1120523776413484,0.3106796116504854,0.02912621359223301,103.0,2,0.0196078431372549,4,0.038834951456310676,2,1.38509806845952,3,0.3106796116504854,0.0,0.0,0.6893203883495146,0.3114754098360656,0.0,0.0,0.6885245901639344,,,,,,,,,0.30952380952380953,0.0,0.0,0.6904761904761905,v6i4_router_ablation_v1,test,uniform_random_at_router_opportunities,uniform_random_at_router_opportunities,,2001,2001,2001,,0b21ba198a80826d5a454d077b9cb479eb9e067eb36799c7870fc104e84258c5,106730,9920,,1,1,11f8518f7f59e9140fb4cd831aa4228a3c3ddbbb1a5d79a99bc9d002c988e9f1,eval,map_b_split_lane_v2,OP5,checkpoints\4v4_phasea_window_router_z0_z3\final_v6i5_router_z0_z3_frozen_actor_516k_716k_OP5_OP6_OP7_4v4.zip,
0,2,3,99,-6.9429781126382295,0.6399999856948853,0,-1,32.0,6.1844463926373106,0.3562045571956843,0.494949494949495,0.04040404040404041,99.0,0,0.0,1,0.010101010101010102,1,1.3848638317801736,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,v6i4_router_ablation_v1,test,qphi_initial_only_no_switch,qphi_initial_only_no_switch,,2000,2000,2000,,378461b94eaf7e6d46eb7c1a25bb36140f29f27b87b3cb117e026b1da49b8adb,106729,9919,,1,1,11f8518f7f59e9140fb4cd831aa4228a3c3ddbbb1a5d79a99bc9d002c988e9f1,eval,map_b_split_lane_v2,OP5,checkpoints\4v4_phasea_window_router_z0_z3\final_v6i5_router_z0_z3_frozen_actor_516k_716k_OP5_OP6_OP7_4v4.zip,
1,3,0,145,-7.29035999057669,0.6800000071525574,0,3,38.0,5.216476124730604,0.18910428504146282,0.3586206896551724,0.027586206896551724,145.0,0,0.0,1,0.006896551724137931,1,1.384358364960243,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,1.0,v6i4_router_ablation_v1,test,qphi_initial_only_no_switch,qphi_initial_only_no_switch,,2001,2001,2001,,0b21ba198a80826d5a454d077b9cb479eb9e067eb36799c7870fc104e84258c5,106730,9920,,1,1,11f8518f7f59e9140fb4cd831aa4228a3c3ddbbb1a5d79a99bc9d002c988e9f1,eval,map_b_split_lane_v2,OP5,checkpoints\4v4_phasea_window_router_z0_z3\final_v6i5_router_z0_z3_frozen_actor_516k_716k_OP5_OP6_OP7_4v4.zip,
0,2,3,99,-6.9429781126382295,0.6399999856948853,0,-1,32.0,6.1844463926373106,0.3562045571956843,0.494949494949495,0.04040404040404041,99.0,0,0.0,4,0.04040404040404041,1,1.3845752321108422,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,v6i4_router_ablation_v1,test,shuffled_qphi_outputs,shuffled_qphi_outputs,,2000,2000,2000,,378461b94eaf7e6d46eb7c1a25bb36140f29f27b87b3cb117e026b1da49b8adb,106729,9919,15487863,1,1,11f8518f7f59e9140fb4cd831aa4228a3c3ddbbb1a5d79a99bc9d002c988e9f1,eval,map_b_split_lane_v2,OP5,checkpoints\4v4_phasea_window_router_z0_z3\final_v6i5_router_z0_z3_frozen_actor_516k_716k_OP5_OP6_OP7_4v4.zip,
1,3,0,145,-7.29035999057669,0.6800000071525574,0,3,38.0,5.216476124730604,0.18910428504146282,0.3586206896551724,0.027586206896551724,145.0,0,0.0,5,0.034482758620689655,1,1.3845696235525198,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,1.0,v6i4_router_ablation_v1,test,shuffled_qphi_outputs,shuffled_qphi_outputs,,2001,2001,2001,,0b21ba198a80826d5a454d077b9cb479eb9e067eb36799c7870fc104e84258c5,106730,9920,15487864,1,1,11f8518f7f59e9140fb4cd831aa4228a3c3ddbbb1a5d79a99bc9d002c988e9f1,eval,map_b_split_lane_v2,OP5,checkpoints\4v4_phasea_window_router_z0_z3\final_v6i5_router_z0_z3_frozen_actor_516k_716k_OP5_OP6_OP7_4v4.zip,
