condition,opponent,map_layout,map_set,seed,return,steps,success,win_margin,initial_z,strategy_switches,n_opportunities
current_switching_learned,OP8,map_b_split_lane,eval,3000,-1.8460275441466365,111,0,0.0,1,0,4
current_switching_learned,OP8,map_b_split_lane,eval,3001,-6.754029468051158,191,0,0.0,1,0,10
current_switching_learned,OP8,map_b_split_lane,eval,3002,-1.9512809758307412,113,0,0.0,1,0,14
current_switching_learned,OP8,map_b_split_lane,eval,3003,-1.4752973529975861,94,0,0.0,1,0,17
current_switching_learned,OP8,map_b_split_lane,eval,3004,-4.414788995869458,144,0,0.0,1,0,22
current_switching_learned,OP8,map_b_split_lane,eval,3005,-8.168035638867877,204,0,0.0,1,0,29
current_switching_learned,OP8,map_b_split_lane,eval,3006,-3.4755363988224417,134,0,0.0,1,0,34
current_switching_learned,OP8,map_b_split_lane,eval,3007,-6.275925744965207,160,0,0.0,1,0,39
current_switching_learned,OP8,map_b_split_lane,eval,3008,-9.885518729308387,213,0,0.0,1,0,46
current_switching_learned,OP8,map_b_split_lane,eval,3009,-1.2205119465652388,96,0,0.0,1,0,49
current_switching_learned,OP10,map_b_split_lane,eval,3000,-3.6312869174580555,136,0,0.0,1,0,54
current_switching_learned,OP10,map_b_split_lane,eval,3001,-1.0959897588181775,97,0,0.0,1,0,58
current_switching_learned,OP10,map_b_split_lane,eval,3002,-4.278069959342247,151,0,0.0,1,0,63
current_switching_learned,OP10,map_b_split_lane,eval,3003,-2.643791223381413,118,0,0.0,1,0,67
current_switching_learned,OP10,map_b_split_lane,eval,3004,-3.4852638244628906,106,0,0.0,1,0,71
current_switching_learned,OP10,map_b_split_lane,eval,3005,-10.94858580219443,249,0,0.0,1,0,79
current_switching_learned,OP10,map_b_split_lane,eval,3006,-3.220932111085858,117,0,0.0,1,0,83
current_switching_learned,OP10,map_b_split_lane,eval,3007,-8.4246910547663,206,0,0.0,1,0,90
current_switching_learned,OP10,map_b_split_lane,eval,3008,-9.270329965744168,193,0,0.0,1,0,97
current_switching_learned,OP10,map_b_split_lane,eval,3009,-3.66831784058013,136,0,0.0,1,0,102
learned_initial_no_switch,OP8,map_b_split_lane,eval,3000,-1.8460275441466365,111,0,0.0,1,0,1
learned_initial_no_switch,OP8,map_b_split_lane,eval,3001,-6.754029468051158,191,0,0.0,1,0,2
learned_initial_no_switch,OP8,map_b_split_lane,eval,3002,-1.9512809758307412,113,0,0.0,1,0,3
learned_initial_no_switch,OP8,map_b_split_lane,eval,3003,-1.4752973529975861,94,0,0.0,1,0,4
learned_initial_no_switch,OP8,map_b_split_lane,eval,3004,-4.414788995869458,144,0,0.0,1,0,5
learned_initial_no_switch,OP8,map_b_split_lane,eval,3005,-8.168035638867877,204,0,0.0,1,0,6
learned_initial_no_switch,OP8,map_b_split_lane,eval,3006,-3.4755363988224417,134,0,0.0,1,0,7
learned_initial_no_switch,OP8,map_b_split_lane,eval,3007,-6.275925744965207,160,0,0.0,1,0,8
learned_initial_no_switch,OP8,map_b_split_lane,eval,3008,-9.885518729308387,213,0,0.0,1,0,9
learned_initial_no_switch,OP8,map_b_split_lane,eval,3009,-1.2205119465652388,96,0,0.0,1,0,10
learned_initial_no_switch,OP10,map_b_split_lane,eval,3000,-3.6312869174580555,136,0,0.0,1,0,11
learned_initial_no_switch,OP10,map_b_split_lane,eval,3001,-1.0959897588181775,97,0,0.0,1,0,12
learned_initial_no_switch,OP10,map_b_split_lane,eval,3002,-4.278069959342247,151,0,0.0,1,0,13
learned_initial_no_switch,OP10,map_b_split_lane,eval,3003,-2.643791223381413,118,0,0.0,1,0,14
learned_initial_no_switch,OP10,map_b_split_lane,eval,3004,-3.4852638244628906,106,0,0.0,1,0,15
learned_initial_no_switch,OP10,map_b_split_lane,eval,3005,-10.94858580219443,249,0,0.0,1,0,16
learned_initial_no_switch,OP10,map_b_split_lane,eval,3006,-3.220932111085858,117,0,0.0,1,0,17
learned_initial_no_switch,OP10,map_b_split_lane,eval,3007,-8.4246910547663,206,0,0.0,1,0,18
learned_initial_no_switch,OP10,map_b_split_lane,eval,3008,-9.270329965744168,193,0,0.0,1,0,19
learned_initial_no_switch,OP10,map_b_split_lane,eval,3009,-3.66831784058013,136,0,0.0,1,0,20
uniform_episode_persistent,OP8,map_b_split_lane,eval,3000,-0.8945390167064033,100,0,0.0,0,0,1
uniform_episode_persistent,OP8,map_b_split_lane,eval,3001,-6.754029468051158,191,0,0.0,0,1,2
uniform_episode_persistent,OP8,map_b_split_lane,eval,3002,-1.9512809758307412,113,0,0.0,0,1,3
uniform_episode_persistent,OP8,map_b_split_lane,eval,3003,-1.4752973529975861,94,0,0.0,0,1,4
uniform_episode_persistent,OP8,map_b_split_lane,eval,3004,-1.1212106464372482,89,0,0.0,0,2,5
uniform_episode_persistent,OP8,map_b_split_lane,eval,3005,-1.6169486644212157,103,0,0.0,0,2,6
uniform_episode_persistent,OP8,map_b_split_lane,eval,3006,-2.6266871197440196,107,0,0.0,0,2,7
uniform_episode_persistent,OP8,map_b_split_lane,eval,3007,-6.275925744965207,160,0,0.0,0,3,8
uniform_episode_persistent,OP8,map_b_split_lane,eval,3008,-9.885518729308387,213,0,0.0,0,3,9
uniform_episode_persistent,OP8,map_b_split_lane,eval,3009,-1.2205119465652388,96,0,0.0,0,3,10
uniform_episode_persistent,OP10,map_b_split_lane,eval,3000,-3.2288162628537975,118,0,0.0,0,4,11
uniform_episode_persistent,OP10,map_b_split_lane,eval,3001,-5.737558296066709,176,0,0.0,0,5,12
uniform_episode_persistent,OP10,map_b_split_lane,eval,3002,-7.702502675063442,190,0,0.0,0,6,13
uniform_episode_persistent,OP10,map_b_split_lane,eval,3003,-2.0430679985438474,105,0,0.0,0,6,14
uniform_episode_persistent,OP10,map_b_split_lane,eval,3004,-6.165322901098989,192,0,0.0,0,7,15
uniform_episode_persistent,OP10,map_b_split_lane,eval,3005,-2.7890390963002574,125,0,0.0,0,7,16
uniform_episode_persistent,OP10,map_b_split_lane,eval,3006,-1.0342098598484881,90,0,0.0,0,7,17
uniform_episode_persistent,OP10,map_b_split_lane,eval,3007,-9.531892624509055,212,0,0.0,0,8,18
uniform_episode_persistent,OP10,map_b_split_lane,eval,3008,-9.270329965744168,193,0,0.0,0,9,19
uniform_episode_persistent,OP10,map_b_split_lane,eval,3009,-3.66831784058013,136,0,0.0,0,9,20
fixed_z2,OP8,map_b_split_lane,eval,3000,-3.7728244992904365,166,0,0.0,-1,0,0
fixed_z2,OP8,map_b_split_lane,eval,3001,-1.0633411387098022,93,0,0.0,-1,0,0
fixed_z2,OP8,map_b_split_lane,eval,3002,-9.608318090438843,261,0,0.0,-1,0,0
fixed_z2,OP8,map_b_split_lane,eval,3003,-2.5730745782493614,106,0,0.0,-1,0,0
fixed_z2,OP8,map_b_split_lane,eval,3004,-1.1212106464372482,89,0,0.0,-1,0,0
fixed_z2,OP8,map_b_split_lane,eval,3005,-1.6169486644212157,103,0,0.0,-1,0,0
fixed_z2,OP8,map_b_split_lane,eval,3006,-2.6266871197440196,107,0,0.0,-1,0,0
fixed_z2,OP8,map_b_split_lane,eval,3007,-3.049555034318473,104,0,0.0,-1,0,0
fixed_z2,OP8,map_b_split_lane,eval,3008,-5.949917103454936,187,0,0.0,-1,0,0
fixed_z2,OP8,map_b_split_lane,eval,3009,-3.2146541058900766,121,0,0.0,-1,0,0
fixed_z2,OP10,map_b_split_lane,eval,3000,0.048772539565106854,84,0,0.0,-1,0,0
fixed_z2,OP10,map_b_split_lane,eval,3001,-1.6127325228007976,111,0,0.0,-1,0,0
fixed_z2,OP10,map_b_split_lane,eval,3002,-7.702502675063442,190,0,0.0,-1,0,0
fixed_z2,OP10,map_b_split_lane,eval,3003,-2.0430679985438474,105,0,0.0,-1,0,0
fixed_z2,OP10,map_b_split_lane,eval,3004,-8.53952490206575,212,0,0.0,-1,0,0
fixed_z2,OP10,map_b_split_lane,eval,3005,-5.770717394305393,170,0,0.0,-1,0,0
fixed_z2,OP10,map_b_split_lane,eval,3006,-0.4798216287745163,82,0,0.0,-1,0,0
fixed_z2,OP10,map_b_split_lane,eval,3007,-2.556014765141299,102,0,0.0,-1,0,0
fixed_z2,OP10,map_b_split_lane,eval,3008,-5.176562908367487,146,0,0.0,-1,0,0
fixed_z2,OP10,map_b_split_lane,eval,3009,-4.734704316215357,163,0,0.0,-1,0,0
shuffled_episode_assignment,OP8,map_b_split_lane,eval,3000,-1.8460275441466365,111,0,0.0,-1,0,0
shuffled_episode_assignment,OP8,map_b_split_lane,eval,3001,-6.754029468051158,191,0,0.0,-1,0,0
shuffled_episode_assignment,OP8,map_b_split_lane,eval,3002,-1.9512809758307412,113,0,0.0,-1,0,0
shuffled_episode_assignment,OP8,map_b_split_lane,eval,3003,-1.4752973529975861,94,0,0.0,-1,0,0
shuffled_episode_assignment,OP8,map_b_split_lane,eval,3004,-4.414788995869458,144,0,0.0,-1,0,0
shuffled_episode_assignment,OP8,map_b_split_lane,eval,3005,-8.168035638867877,204,0,0.0,-1,0,0
shuffled_episode_assignment,OP8,map_b_split_lane,eval,3006,-3.4755363988224417,134,0,0.0,-1,0,0
shuffled_episode_assignment,OP8,map_b_split_lane,eval,3007,-6.275925744965207,160,0,0.0,-1,0,0
shuffled_episode_assignment,OP8,map_b_split_lane,eval,3008,-9.885518729308387,213,0,0.0,-1,0,0
shuffled_episode_assignment,OP8,map_b_split_lane,eval,3009,-1.2205119465652388,96,0,0.0,-1,0,0
shuffled_episode_assignment,OP10,map_b_split_lane,eval,3000,-3.6312869174580555,136,0,0.0,-1,0,0
shuffled_episode_assignment,OP10,map_b_split_lane,eval,3001,-1.0959897588181775,97,0,0.0,-1,0,0
shuffled_episode_assignment,OP10,map_b_split_lane,eval,3002,-4.278069959342247,151,0,0.0,-1,0,0
shuffled_episode_assignment,OP10,map_b_split_lane,eval,3003,-2.643791223381413,118,0,0.0,-1,0,0
shuffled_episode_assignment,OP10,map_b_split_lane,eval,3004,-3.4852638244628906,106,0,0.0,-1,0,0
shuffled_episode_assignment,OP10,map_b_split_lane,eval,3005,-10.94858580219443,249,0,0.0,-1,0,0
shuffled_episode_assignment,OP10,map_b_split_lane,eval,3006,-3.220932111085858,117,0,0.0,-1,0,0
shuffled_episode_assignment,OP10,map_b_split_lane,eval,3007,-8.4246910547663,206,0,0.0,-1,0,0
shuffled_episode_assignment,OP10,map_b_split_lane,eval,3008,-9.270329965744168,193,0,0.0,-1,0,0
shuffled_episode_assignment,OP10,map_b_split_lane,eval,3009,-3.66831784058013,136,0,0.0,-1,0,0
