opponent,map,episode_index,episode_seed,cell_seed,z_router,log_prob,ep_return,forced_return_z0,forced_return_z1,forced_return_z2,forced_return_z3,V_z0,V_z1,V_z2,V_z3,V_selected,mean_z_return,online_advantage,oracle_advantage,oracle_best_z,critic_best_z
OP10,map_b,0,2042,2042,1,-1.3054757118225098,-6.074100971221924,-3.4789371490478516,-6.074100971221924,-4.225467205047607,-1.7586554288864136,-1.0957965850830078,-1.1106364727020264,-1.1577589511871338,-1.086660623550415,-1.1106364727020264,-3.8842902183532715,-4.963464736938477,-2.1898107528686523,3,3
OP10,map_b,1,2043,2042,1,-1.3127057552337646,-7.767368316650391,-1.4328941106796265,-7.767368316650391,-5.336980819702148,-1.5733014345169067,-1.0047831535339355,-0.9367244839668274,-1.066333532333374,-1.0149009227752686,-0.9367244839668274,-4.0276360511779785,-6.830643653869629,-3.739732265472412,0,1
OP10,map_b,2,2044,2042,1,-1.3109862804412842,-5.605438232421875,-0.48689794540405273,-5.605438232421875,-1.5486959218978882,-1.8008822202682495,-1.1169703006744385,-1.1717290878295898,-1.1947011947631836,-1.1724753379821777,-1.1717290878295898,-2.360478639602661,-4.433709144592285,-3.244959592819214,0,0
OP10,map_b,3,2045,2042,1,-1.3083919286727905,-3.036134958267212,-1.7597757577896118,-3.036134958267212,-8.758092880249023,-0.813343346118927,-1.6734850406646729,-1.5735278129577637,-1.6974246501922607,-1.6940820217132568,-1.5735278129577637,-3.59183669090271,-1.4626071453094482,0.555701732635498,3,1
OP10,map_b,4,2046,2042,1,-1.3067859411239624,-8.802510261535645,-11.438342094421387,-8.802510261535645,-11.36981201171875,-12.105592727661133,-1.4791922569274902,-1.4700164794921875,-1.518725872039795,-1.561579942703247,-1.4700164794921875,-10.92906379699707,-7.332493782043457,2.126553535461426,1,1
OP10,map_b,5,2047,2042,1,-1.3129364252090454,-1.3045034408569336,-7.279606342315674,-1.3045034408569336,-1.6912420988082886,-7.3843231201171875,-1.173577070236206,-1.1564445495605469,-1.1431598663330078,-1.1917471885681152,-1.1564445495605469,-4.414918899536133,-0.14805889129638672,3.110415458679199,1,2
OP10,map_b,6,2048,2042,1,-1.307653546333313,-3.0026369094848633,-5.405248641967773,-3.0026369094848633,-1.3549748659133911,-4.675274848937988,-1.4044811725616455,-1.3062098026275635,-1.4337153434753418,-1.4588451385498047,-1.3062098026275635,-3.6095337867736816,-1.6964271068572998,0.6068968772888184,2,1
OP10,map_b,7,2049,2042,1,-1.2994416952133179,-5.381640434265137,-1.8660889863967896,-5.381640434265137,-4.342973232269287,-3.1153407096862793,-1.3984322547912598,-1.4006881713867188,-1.5145668983459473,-1.3874571323394775,-1.4006881713867188,-3.676510810852051,-3.980952262878418,-1.705129623413086,0,3
OP10,map_b,8,2050,2042,1,-1.3065205812454224,-3.5008482933044434,-1.0394495725631714,-3.5008482933044434,-5.080610275268555,-3.462401866912842,-1.3415026664733887,-1.2280361652374268,-1.3487262725830078,-1.3815133571624756,-1.2280361652374268,-3.2708277702331543,-2.2728121280670166,-0.23002052307128906,0,1
OP10,map_b,9,2051,2042,1,-1.3091673851013184,-6.546004295349121,-3.860227584838867,-6.546004295349121,-14.068171501159668,-4.185360908508301,-1.0266273021697998,-0.955592691898346,-1.1339912414550781,-1.040778398513794,-0.955592691898346,-7.16494083404541,-5.59041166305542,0.6189365386962891,0,1
OP10,map_b,10,2052,2042,1,-1.3273717164993286,-2.3471782207489014,-2.9154467582702637,-2.3471782207489014,-2.828660488128662,-2.7856523990631104,-1.35532546043396,-1.2452800273895264,-1.3484957218170166,-1.3463952541351318,-1.2452800273895264,-2.7192344665527344,-1.101898193359375,0.372056245803833,1,1
OP10,map_b,11,2053,2042,1,-1.30349600315094,-2.956179141998291,-0.9693354368209839,-2.956179141998291,-11.0244722366333,-2.1061689853668213,-1.280238151550293,-1.2264811992645264,-1.3077476024627686,-1.2641704082489014,-1.2264811992645264,-4.264039039611816,-1.7296979427337646,1.3078598976135254,0,1
OP10,map_b,12,2054,2042,1,-1.30744206905365,-10.53467082977295,-7.380081653594971,-10.53467082977295,-3.115649461746216,-5.180363655090332,-1.011570930480957,-1.0276269912719727,-1.083012342453003,-0.9866016507148743,-1.0276269912719727,-6.552691459655762,-9.507043838500977,-3.9819793701171875,2,3
OP10,map_b,13,2055,2042,1,-1.3074226379394531,-3.4977974891662598,-1.0409014225006104,-3.4977974891662598,-1.0161958932876587,-1.029289960861206,-1.0784165859222412,-1.0563325881958008,-1.137049674987793,-1.0813014507293701,-1.0563325881958008,-1.6460461616516113,-2.441464900970459,-1.8517513275146484,2,1
OP10,map_b,14,2056,2042,1,-1.30934476852417,-6.465737342834473,-7.767982006072998,-6.465737342834473,-1.8683527708053589,-8.142569541931152,-1.094811201095581,-1.092092752456665,-1.152773141860962,-1.0997896194458008,-1.092092752456665,-6.061160087585449,-5.373644828796387,-0.40457725524902344,2,1
OP10,map_b,15,2057,2042,1,-1.3089641332626343,-2.853149890899658,-2.5479342937469482,-2.853149890899658,-2.304004430770874,-1.8615682125091553,-1.0862174034118652,-1.0989990234375,-1.157620906829834,-1.0805108547210693,-1.0989990234375,-2.3916642665863037,-1.7541508674621582,-0.4614856243133545,3,3
