agent_id,blue_mine_kills,blue_score,episode_steps,flag_carries,macro_0,macro_2,macro_4,map_name,map_path,max_time,mine_attempts,mines_placed_enemy_half,mines_triggered_by_red,opponent_key,opponent_kind,phase_name,red_mine_kills,red_score,result,score_limit,side
0,0,0,43,0,26,7,10,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,43,12,28,9,6,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,44,0,26,5,13,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,44,0,21,8,15,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,44,0,28,10,6,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,44,0,29,7,8,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,40,0,25,8,7,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,40,0,24,11,5,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,41,0,24,7,10,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,41,0,23,10,8,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,42,0,26,6,10,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,42,0,26,7,9,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,37,0,26,6,5,empty_20x20,,200.0,0,0,0,RUSHER,SPECIES,OP1,0,3,LOSS,3,blue
1,0,0,37,0,21,7,9,empty_20x20,,200.0,0,0,0,RUSHER,SPECIES,OP1,0,3,LOSS,3,blue
0,0,0,44,0,24,12,8,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,44,0,30,5,9,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,45,0,24,9,12,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,45,0,24,12,9,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,48,0,28,11,9,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,48,0,29,13,6,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,46,0,31,5,10,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,46,0,28,13,5,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,47,0,29,10,8,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,47,0,24,10,13,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,50,0,30,11,9,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
