episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score
1,1,278.586,300.069,415,34,0,3.69296,2.38259,0.25,OP1,scripted,OP1,1,0
2,0,,300.069,439,33,0,4.333,2.66591,0.158333,OP1,scripted,OP1,0,0
3,1,272.349,300.069,172,251,0,4.57684,2.71343,0.283333,OP1,scripted,OP1,1,0
4,1,181.566,300.069,415,23,0,4.67277,2.79022,0.15,OP1,scripted,OP1,1,0
5,1,143.451,300.069,402,37,0,4.25411,2.55164,0.15,OP1,scripted,OP1,1,0
6,1,51.282,300.069,396,31,0,4.84932,2.82567,0.225,OP1,scripted,OP1,1,0
7,0,,300.069,429,30,0,4.91466,3.06374,0.208333,OP1,scripted,OP1,0,0
8,1,81.081,300.069,408,25,0,4.75045,2.89262,0.225,OP1,scripted,OP1,1,0
9,0,,300.069,435,27,0,3.70236,2.41181,0.125,OP1,scripted,OP1,0,0
10,1,288.288,300.069,418,36,0,4.13417,2.81628,0.166667,OP1,scripted,OP1,1,0
11,0,,300.069,426,29,0,3.98873,2.38349,0.191667,OP1,scripted,OP1,0,0
12,1,139.293,300.069,420,32,0,4.12043,2.47392,0.175,OP1,scripted,OP1,1,0
13,1,30.492,226.611,164,129,0,5.09899,3.39622,0.175,OP1,scripted,OP1,3,0
14,0,,300.069,434,38,0,4.17312,2.62441,0.158333,OP1,scripted,OP1,0,0
15,0,,300.069,426,26,0,4.82359,2.89612,0.241667,OP1,scripted,OP1,0,0
16,0,,300.069,423,41,0,4.8191,3.03464,0.258333,OP1,scripted,OP1,0,0
17,1,69.3,221.067,257,24,0,3.60312,1.88404,0.15,OP1,scripted,OP1,3,0
18,0,,300.069,422,42,0,4.71785,2.78023,0.183333,OP1,scripted,OP1,0,0
19,1,268.191,300.069,424,32,0,4.57888,2.82462,0.225,OP1,scripted,OP1,1,0
20,1,60.291,300.069,397,31,0,5.0149,2.91517,0.208333,OP1,scripted,OP1,2,0
21,1,27.72,179.487,209,36,0,3.19615,2.30123,0.158333,OP1,scripted,OP1,3,0
