episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score
1,0,,300.069,415,29,0,3.78993,2.28416,0.2,OP1,scripted,OP1,0,0
2,0,,300.069,436,41,0,4.64636,2.87202,0.158333,OP1,scripted,OP1,0,0
3,1,268.191,300.069,395,40,0,4.31921,2.41443,0.191667,OP1,scripted,OP1,1,0
4,0,,300.069,443,52,0,4.25333,2.9419,0.1,OP1,scripted,OP1,0,0
5,1,128.898,263.34,248,84,0,4.93775,2.96803,0.266667,OP1,scripted,OP1,3,0
6,1,32.571,293.832,36,349,0,5.10209,2.81407,0.241667,OP1,scripted,OP1,3,0
7,1,39.501,300.069,29,403,0,4.6839,2.88629,0.141667,OP1,scripted,OP1,1,0
8,1,34.65,300.069,161,272,0,4.52521,2.97641,0.216667,OP1,scripted,OP1,2,0
9,1,178.794,300.069,396,34,0,4.17642,2.79808,0.125,OP1,scripted,OP1,2,0
10,0,,300.069,418,27,0,4.12051,2.43817,0.283333,OP1,scripted,OP1,0,0
11,0,,300.069,435,43,0,4.02797,2.70215,0.225,OP1,scripted,OP1,0,0
12,0,,300.069,432,33,0,4.64355,2.99107,0.191667,OP1,scripted,OP1,0,0
13,0,,300.069,419,22,0,4.86857,2.68522,0.225,OP1,scripted,OP1,0,0
14,1,53.361,300.069,404,20,0,4.64127,2.61283,0.233333,OP1,scripted,OP1,2,0
15,0,,300.069,429,26,0,5.04653,3.12812,0.275,OP1,scripted,OP1,0,0
16,1,212.751,300.069,420,40,0,4.31748,2.74272,0.15,OP1,scripted,OP1,1,0
17,0,,300.069,422,33,0,4.40346,2.43625,0.208333,OP1,scripted,OP1,0,0
18,0,,300.069,421,42,0,4.73889,2.56859,0.2,OP1,scripted,OP1,0,0
19,1,251.559,300.069,363,38,0,4.86331,3.06795,0.266667,OP1,scripted,OP1,1,0
20,1,43.659,300.069,418,21,0,4.15067,2.81535,0.183333,OP1,scripted,OP1,1,0
21,1,42.966,261.954,31,335,0,4.26443,2.79565,0.233333,OP1,scripted,OP1,3,0
22,0,,300.069,379,86,0,3.60022,1.99396,0.166667,OP1,scripted,OP1,0,0
23,1,210.672,300.069,408,45,0,4.06689,2.53259,0.175,OP1,scripted,OP1,1,0
24,1,120.582,300.069,378,25,0,4.09264,2.39949,0.275,OP1,scripted,OP1,2,0
25,1,65.142,300.069,414,17,0,5.15471,2.86922,0.316667,OP1,scripted,OP1,1,0
26,1,132.363,300.069,379,36,0,3.83894,2.2114,0.116667,OP1,scripted,OP1,1,0
27,0,,300.069,422,37,0,4.37805,3.15856,0.233333,OP1,scripted,OP1,0,0
28,1,163.548,300.069,399,32,0,4.0586,2.69302,0.15,OP1,scripted,OP1,2,0
29,1,122.661,202.356,238,20,0,5.24223,3.16557,0.225,OP1,scripted,OP1,3,0
30,1,90.783,300.069,396,37,0,3.92869,2.71201,0.125,OP1,scripted,OP1,2,0
31,1,60.984,300.069,369,36,0,4.48123,2.68528,0.175,OP1,scripted,OP1,2,0
32,0,,300.069,419,40,0,4.52679,2.51184,0.191667,OP1,scripted,OP1,0,0
33,0,,300.069,36,407,0,4.13693,2.52612,0.233333,OP1,scripted,OP1,0,0
34,1,31.878,300.069,428,41,0,3.85915,2.727,0.166667,OP1,scripted,OP1,1,0
35,0,,300.069,436,37,0,4.24,2.73721,0.25,OP1,scripted,OP1,0,0
36,1,29.799,300.069,403,21,0,5.18578,2.87006,0.283333,OP1,scripted,OP1,1,0
37,0,,300.069,422,23,0,4.03769,2.24092,0.183333,OP1,scripted,OP1,0,0
38,1,33.957,300.069,405,26,0,4.69948,2.74691,0.233333,OP1,scripted,OP1,1,0
39,1,160.776,300.069,402,34,0,3.99887,2.48282,0.175,OP1,scripted,OP1,1,0
40,0,,300.069,439,28,0,4.10012,2.54329,0.2,OP1,scripted,OP1,0,0
41,0,,300.069,424,31,0,4.21816,2.20968,0.15,OP1,scripted,OP1,0,0
42,1,206.514,300.069,416,31,0,4.60406,2.82876,0.175,OP1,scripted,OP1,1,0
43,1,158.004,300.069,370,33,0,4.36742,2.76469,0.258333,OP1,scripted,OP1,2,0
44,1,239.085,300.069,393,25,0,4.64411,2.66559,0.2,OP1,scripted,OP1,1,0
45,1,118.503,300.069,385,30,0,4.72843,2.90933,0.183333,OP1,scripted,OP1,2,0
46,1,42.966,300.069,421,46,0,4.72403,3.0911,0.166667,OP1,scripted,OP1,2,0
47,1,27.027,300.069,406,37,0,4.20843,2.7564,0.141667,OP1,scripted,OP1,2,0
48,1,18.711,300.069,421,32,0,4.21473,2.48018,0.116667,OP1,scripted,OP1,1,0
49,1,129.591,300.069,412,36,0,4.41603,2.80911,0.15,OP1,scripted,OP1,2,0
50,1,237.006,300.069,409,26,0,4.62868,2.67922,0.191667,OP1,scripted,OP1,1,0
51,1,84.546,273.735,325,21,0,4.97754,2.79824,0.25,OP1,scripted,OP1,3,0
52,1,74.151,300.069,419,40,0,3.92397,2.42055,0.166667,OP1,scripted,OP1,1,0
53,1,67.221,256.41,281,29,0,4.15188,2.25059,0.225,OP1,scripted,OP1,3,0
54,1,155.925,300.069,390,45,0,4.34475,2.85217,0.133333,OP1,scripted,OP1,2,0
55,1,55.44,300.069,398,39,0,4.91067,2.8406,0.2,OP1,scripted,OP1,2,0
56,0,,300.069,425,24,0,5.32902,2.8755,0.2,OP1,scripted,OP1,0,0
57,0,,300.069,427,22,0,5.06111,2.96015,0.275,OP1,scripted,OP1,0,0
58,0,,300.069,426,29,0,4.69505,2.51129,0.241667,OP1,scripted,OP1,0,0
59,1,31.185,300.069,394,34,0,4.73106,2.79293,0.258333,OP1,scripted,OP1,2,0
60,1,125.433,300.069,419,21,0,6.34857,2.85038,0.341667,OP1,scripted,OP1,1,0
61,1,31.185,148.995,16,144,0,4.68883,3.28938,0.166667,OP1,scripted,OP1,3,0
62,1,24.948,165.627,22,170,0,4.7291,2.71841,0.183333,OP1,scripted,OP1,3,0
