episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score,opponent_switch_count,vec_schema_version
1,0,,300.069,434,43,0,3.27416,2.27099,0.108333,OP1,scripted,OP1,0,0,0,1
2,0,,300.069,429,26,0,5.43691,2.92877,0.2,OP1,scripted,OP1,0,0,0,1
3,1,128.898,300.069,9,406,0,4.78528,2.6531,0.166667,OP1,scripted,OP1,1,0,0,1
4,1,107.415,300.069,393,40,0,4.18631,2.93916,0.216667,OP1,scripted,OP1,2,0,0,1
5,0,,300.069,425,21,0,4.66424,2.63158,0.208333,OP1,scripted,OP1,0,0,0,1
6,0,,300.069,439,36,0,4.40804,2.78417,0.2,OP1,scripted,OP1,0,0,0,1
7,1,102.564,300.069,417,38,0,5.07781,3.00129,0.133333,OP1,scripted,OP1,1,0,0,1
8,0,,300.069,426,19,0,4.8079,2.4622,0.208333,OP1,scripted,OP1,0,0,0,1
9,1,120.582,300.069,410,53,0,3.64803,2.59909,0.175,OP1,scripted,OP1,2,0,0,1
10,1,154.539,300.069,413,30,0,3.92887,2.6101,0.258333,OP1,scripted,OP1,1,0,0,1
11,0,,300.069,427,24,0,4.0288,2.30505,0.233333,OP1,scripted,OP1,0,0,0,1
12,1,134.442,300.069,423,28,0,3.92621,2.58953,0.241667,OP1,scripted,OP1,1,0,0,1
13,1,30.492,300.069,426,33,0,4.56542,2.97545,0.191667,OP1,scripted,OP1,1,0,0,1
14,1,38.115,300.069,420,32,0,4.17852,2.7455,0.141667,OP1,scripted,OP1,2,0,0,1
15,0,,300.069,419,31,0,4.60298,2.84998,0.241667,OP1,scripted,OP1,0,0,0,1
16,0,,300.069,427,31,0,4.81028,2.66946,0.275,OP1,scripted,OP1,0,0,0,1
17,1,81.081,290.367,87,308,0,3.73159,2.32924,0.225,OP1,scripted,OP1,3,0,0,1
18,1,131.67,300.069,397,36,0,4.46204,2.90067,0.116667,OP1,scripted,OP1,1,0,0,1
19,0,,300.069,427,27,0,4.26393,2.3119,0.125,OP1,scripted,OP1,0,0,0,1
20,0,,300.069,432,17,0,4.52387,2.71535,0.216667,OP1,scripted,OP1,0,0,0,1
21,1,26.334,155.925,136,21,0,3.67454,2.22151,0.125,OP1,scripted,OP1,3,0,0,1
22,1,34.65,285.516,359,35,0,4.59825,2.97703,0.233333,OP1,scripted,OP1,3,0,0,1
23,0,,300.069,26,427,0,4.21199,2.65827,0.233333,OP1,scripted,OP1,0,0,0,1
24,1,288.288,300.069,419,33,0,3.84354,2.36163,0.158333,OP1,scripted,OP1,1,0,0,1
25,1,36.729,300.069,377,32,0,4.88783,3.16825,0.341667,OP1,scripted,OP1,2,0,0,1
26,1,26.334,198.891,197,24,0,4.52548,2.68388,0.15,OP1,scripted,OP1,3,0,0,1
27,1,148.995,300.069,425,22,0,4.57497,2.83375,0.141667,OP1,scripted,OP1,1,0,0,1
28,1,108.801,300.069,402,42,0,4.4219,2.55851,0.175,OP1,scripted,OP1,1,0,0,1
29,1,275.814,300.069,34,409,0,4.10048,2.47388,0.175,OP1,scripted,OP1,1,0,0,1
30,1,124.74,300.069,401,11,0,5.25074,2.77746,0.175,OP1,scripted,OP1,2,0,0,1
31,1,125.433,300.069,157,257,0,4.82676,2.76075,0.166667,OP1,scripted,OP1,2,0,0,1
32,1,25.641,300.069,35,376,0,4.90141,2.69207,0.216667,OP1,scripted,OP1,2,0,0,1
33,0,,300.069,426,34,0,4.37757,2.76408,0.208333,OP1,scripted,OP1,0,0,0,1
34,0,,300.069,429,33,0,3.89975,2.45291,0.233333,OP1,scripted,OP1,0,0,0,1
35,1,60.291,300.069,412,50,0,4.3039,2.59016,0.166667,OP1,scripted,OP1,1,0,0,1
36,1,24.255,300.069,422,30,0,4.32087,2.67093,0.108333,OP1,scripted,OP1,1,0,0,1
37,1,25.641,300.069,429,46,0,3.8651,2.44198,0.175,OP1,scripted,OP1,1,0,0,1
38,0,,300.069,23,451,0,4.14714,2.5977,0.125,OP1,scripted,OP1,0,0,0,1
39,1,99.099,300.069,384,28,0,5.66458,3.55762,0.25,OP1,scripted,OP1,1,0,0,1
40,1,112.266,300.069,411,29,0,3.82948,2.45636,0.2,OP1,scripted,OP1,2,0,0,1
41,0,,300.069,432,25,0,4.65486,2.50672,0.258333,OP1,scripted,OP1,0,0,0,1
42,1,28.413,300.069,409,31,0,4.65825,2.93853,0.158333,OP1,scripted,OP1,1,0,0,1
43,1,29.106,300.069,405,45,0,3.44881,2.348,0.2,OP1,scripted,OP1,2,0,0,1
44,1,24.255,300.069,423,23,0,4.7833,2.87157,0.258333,OP1,scripted,OP1,1,0,0,1
45,1,31.185,300.069,399,36,0,4.28773,2.63653,0.208333,OP1,scripted,OP1,2,0,0,1
46,1,120.582,300.069,408,8,0,5.31104,2.46255,0.208333,OP1,scripted,OP1,1,0,0,1
47,0,,300.069,435,40,0,3.71771,2.09549,0.1,OP1,scripted,OP1,0,0,0,1
48,1,24.255,300.069,425,32,0,4.29193,2.81887,0.275,OP1,scripted,OP1,1,0,0,1
49,0,,300.069,430,20,0,4.64665,2.58809,0.15,OP1,scripted,OP1,0,0,0,1
50,1,155.232,300.069,405,39,0,3.95223,2.7036,0.116667,OP1,scripted,OP1,1,0,0,1
51,1,223.839,300.069,28,409,0,4.56209,2.5439,0.216667,OP1,scripted,OP1,1,0,0,1
52,1,139.986,300.069,29,380,0,5.21757,2.95383,0.191667,OP1,scripted,OP1,1,0,0,1
53,0,,300.069,436,25,0,4.64197,2.67711,0.208333,OP1,scripted,OP1,0,0,0,1
54,1,28.413,300.069,393,38,0,4.72509,2.88809,0.241667,OP1,scripted,OP1,2,0,0,1
55,1,31.185,300.069,369,38,0,4.64668,2.77545,0.175,OP1,scripted,OP1,2,0,0,1
56,1,35.343,300.069,398,43,0,4.34033,2.78965,0.116667,OP1,scripted,OP1,2,0,0,1
57,1,41.58,300.069,412,42,0,4.68609,2.86808,0.158333,OP1,scripted,OP1,1,0,0,1
58,1,28.413,300.069,409,33,0,4.36703,2.81117,0.141667,OP1,scripted,OP1,2,0,0,1
59,1,30.492,230.076,279,21,0,4.83226,2.94164,0.225,OP1,scripted,OP1,3,0,0,1
60,1,58.212,300.069,401,47,0,4.37323,2.54445,0.158333,OP1,scripted,OP1,2,0,0,1
61,0,,300.069,428,43,0,5.03465,3.46978,0.341667,OP1,scripted,OP1,0,0,0,1
62,1,83.16,248.094,306,33,0,4.47027,2.82061,0.116667,OP1,scripted,OP1,3,0,0,1
63,1,24.255,300.069,383,32,0,4.83233,3.3292,0.133333,OP1,scripted,OP1,2,0,0,1
64,0,,300.069,425,20,0,5.12876,2.88015,0.208333,OP1,scripted,OP1,0,0,0,1
65,1,36.729,225.918,280,27,0,4.70278,2.77267,0.233333,OP1,scripted,OP1,3,0,0,1
66,1,35.343,300.069,391,32,0,4.43169,2.69868,0.175,OP1,scripted,OP1,2,0,0,1
67,1,87.318,300.069,379,38,0,4.66243,3.22648,0.158333,OP1,scripted,OP1,2,0,0,1
68,0,,300.069,425,27,0,4.93105,2.98399,0.225,OP1,scripted,OP1,0,0,0,1
69,1,34.65,278.586,345,31,0,4.72054,2.9144,0.2,OP1,scripted,OP1,3,0,0,1
70,1,26.334,300.069,401,28,0,4.69175,3.03031,0.266667,OP1,scripted,OP1,2,0,0,1
71,1,269.577,300.069,419,29,0,4.55053,2.79785,0.25,OP1,scripted,OP1,1,0,0,1
72,0,,300.069,439,29,0,4.28335,2.67067,0.108333,OP1,scripted,OP1,0,0,0,1
73,1,67.914,300.069,400,25,0,5.17869,2.82044,0.158333,OP1,scripted,OP1,1,0,0,1
74,1,70.686,218.295,243,29,0,4.47149,2.2735,0.133333,OP1,scripted,OP1,3,0,0,1
75,1,266.112,300.069,412,40,0,4.30926,2.87067,0.3,OP1,scripted,OP1,1,0,0,1
76,1,74.844,300.069,385,20,0,5.10987,2.75642,0.233333,OP1,scripted,OP1,2,0,0,1
77,1,51.975,179.487,19,158,0,4.71207,2.49306,0.208333,OP1,scripted,OP1,3,0,0,1
78,1,33.957,300.069,414,28,0,4.65617,2.92087,0.125,OP1,scripted,OP1,1,0,0,1
79,0,,300.069,440,33,0,4.22419,2.5988,0.183333,OP1,scripted,OP1,0,0,0,1
80,1,22.176,97.02,13,88,0,5.53556,2.64032,0.191667,OP1,scripted,OP1,3,0,0,1
81,1,49.203,261.261,278,24,0,4.35219,2.55359,0.208333,OP1,scripted,OP1,3,0,0,1
82,1,64.449,196.812,228,19,0,4.46249,2.68629,0.108333,OP1,scripted,OP1,3,0,0,1
83,1,44.352,300.069,392,35,0,4.55402,2.92479,0.283333,OP1,scripted,OP1,1,0,0,1
84,1,37.422,224.532,270,31,0,4.71078,2.82677,0.241667,OP1,scripted,OP1,3,0,0,1
85,1,190.575,300.069,240,184,0,4.93594,3.50278,0.133333,OP1,scripted,OP1,1,0,0,1
86,1,31.878,300.069,393,32,0,4.5707,2.75213,0.233333,OP1,scripted,OP1,2,0,0,1
87,1,49.203,300.069,428,23,0,4.64763,3.10276,0.141667,OP1,scripted,OP1,1,0,0,1
88,1,31.185,101.178,83,11,0,5.26036,3.06061,0.158333,OP1,scripted,OP1,3,0,0,1
