episode_id,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,opponent,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,near_misses_per_episode,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,184,0,23,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,23,0.3199999928474426,1,0,4,16.0,7.345264600670856,1.5,0.5,-0.009588882327079773,0.0,1.0,100.0,0.0,0.5826703310012817
2,208,0,26,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,26,0.23999999463558197,1,0,3,21.0,7.8698554405799275,1.5,0.5,0.001336127519607544,0.03999999910593033,1.0,100.0,0.0,0.5832680463790894
3,208,0,26,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,26,0.47999998927116394,1,0,9,19.0,6.228043189415565,1.5,0.5,0.00012576580047607422,0.02499999850988388,1.0,100.0,0.0,0.5830779075622559
4,216,0,27,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,27,0.4399999976158142,1,0,5,22.0,8.388837461118344,1.5,0.5,-0.0023336261510849,0.02499999850988388,1.0,100.0,0.0,0.5830489993095398
5,224,0,28,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,28,0.35999998450279236,1,0,9,21.0,6.287561144147601,1.5,0.5,-0.021711647510528564,0.014999999664723873,1.0,100.0,-0.03999999910593033,0.5768029689788818
6,232,0,29,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,29,0.3999999761581421,1,0,9,21.0,7.596189827754579,1.5,0.5,-0.0049592554569244385,0.02499999850988388,1.0,100.0,-0.019999999552965164,0.5800768136978149
7,240,0,30,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,30,0.2800000011920929,1,0,14,25.0,6.027194213867188,1.5,0.5,-0.015277162194252014,0.029999999329447746,1.0,100.0,0.0,0.5829557180404663
8,256,0,32,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,0,3,32,0.2800000011920929,1,0,11,25.0,7.601248741149902,1.5,0.5,-0.0289200097322464,0.029999999329447746,1.0,100.0,0.0,0.5827956199645996
9,336,0,42,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.3199999928474426,1,0,2,12.0,10.584144993832236,1.5,0.5,-0.023770049214363098,0.029999999329447746,1.0,100.0,0.0,0.5828560590744019
10,360,0,45,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.23999999463558197,1,0,2,12.0,10.150022807874178,-1.2000000476837158,-0.5,0.015106290578842163,0.0,-1.0,-100.0,-0.019999999552965164,-0.540014386177063
11,360,0,45,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.2800000011920929,1,0,5,12.0,9.47614890650699,1.5,0.4000000059604645,-0.01037512719631195,0.029999999329447746,1.0,100.0,0.0,0.5681544542312622
12,368,0,46,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.3199999928474426,1,0,7,11.0,10.269417656792534,1.5,0.8999999761581421,-0.010211735963821411,0.029999999329447746,2.0,200.0,0.0,0.7522550821304321
13,368,0,46,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.1599999964237213,1,0,5,12.0,10.340817100123354,-1.2000000476837158,0.0,0.00032372772693634033,0.0,0.0,0.0,0.0,-0.26051509380340576
14,384,0,48,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,2,12.0,10.024417274876646,1.5,0.0,-0.009479835629463196,0.0,0.0,0.0,0.0,0.32136160135269165
15,392,0,49,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,19,0.3199999928474426,1,0,1,12.0,10.274295204564146,1.5,0.5,-0.02340693771839142,0.014999999664723873,1.0,100.0,0.0,0.5826842188835144
16,400,0,50,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.19999998807907104,1,0,0,11.0,11.588821411132812,1.5,0.4000000059604645,-0.0018002688884735107,0.029999999329447746,0.0,0.0,0.0,0.39922240376472473
17,472,0,59,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.35999998450279236,1,0,2,11.0,9.43776658002068,1.5,0.5,-0.04123339056968689,0.014999999664723873,1.0,100.0,0.0,0.582474946975708
18,512,0,64,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,1,3,-2,19,0.1599999964237213,1,0,4,12.0,10.260936536287007,-1.2000000476837158,-0.5,0.007562577724456787,0.019999999552965164,-1.0,-100.0,-0.019999999552965164,-0.5398575067520142
19,512,0,64,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.2800000011920929,1,0,4,12.0,10.582825510125412,-1.2000000476837158,-0.5,-0.013161048293113708,0.019999999552965164,-1.0,-100.0,0.0,-0.5369631052017212
20,512,0,64,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.35999998450279236,1,0,0,11.0,10.424178229437935,1.5,0.4000000059604645,-0.006090864539146423,0.029999999329447746,1.0,100.0,0.0,0.5682060718536377
21,520,0,65,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.2800000011920929,1,0,0,15.0,11.778098658511514,1.5,0.5,-0.007355332374572754,0.029999999329447746,1.0,100.0,-0.019999999552965164,0.580107569694519
22,528,0,66,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.19999998807907104,1,0,4,11.0,10.708527459038628,-1.2000000476837158,-0.4000000059604645,0.007883727550506592,0.019999999552965164,-1.0,-100.0,0.0,-0.5206871628761292
23,544,0,68,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.2800000011920929,1,0,3,13.0,10.63413439298931,1.5,0.5,-0.03811006247997284,0.029999999329447746,1.0,100.0,0.0,0.5826877355575562
24,560,0,70,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,20,0.2800000011920929,1,0,2,12.0,11.209161376953125,1.5,0.5,-0.030888915061950684,0.014999999664723873,1.0,100.0,0.0,0.5825963020324707
25,632,0,79,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,20,0.2800000011920929,1,0,4,13.0,8.954801177978515,-0.699999988079071,0.0,0.007106617093086243,0.0,0.0,0.0,-0.019999999552965164,-0.15852534770965576
26,648,0,81,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.1599999964237213,1,0,1,11.0,10.584625244140625,1.5,0.0,0.008560866117477417,0.0,0.0,0.0,0.0,0.32164913415908813
27,664,0,83,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.23999999463558197,1,0,6,11.0,10.375652737087673,-0.699999988079071,0.0,0.0051226019859313965,0.0,0.0,0.0,0.0,-0.1542239934206009
