update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_q_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,strategy_kl,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,episode_z_0_count,episode_z_0_win_rate,episode_z_0_blue_score_mean,episode_z_0_red_score_mean,episode_z_0_win_margin_mean,episode_z_1_count,episode_z_1_win_rate,episode_z_1_blue_score_mean,episode_z_1_red_score_mean,episode_z_1_win_margin_mean,episode_z_2_count,episode_z_2_win_rate,episode_z_2_blue_score_mean,episode_z_2_red_score_mean,episode_z_2_win_margin_mean,episode_z_3_count,episode_z_3_win_rate,episode_z_3_blue_score_mean,episode_z_3_red_score_mean,episode_z_3_win_margin_mean,strategy_resample_adv_mean_z0,strategy_resample_adv_std_z0,strategy_resample_adv_n_z0,strategy_resample_adv_mean_z1,strategy_resample_adv_std_z1,strategy_resample_adv_n_z1,strategy_resample_adv_mean_z2,strategy_resample_adv_std_z2,strategy_resample_adv_n_z2,strategy_resample_adv_mean_z3,strategy_resample_adv_std_z3,strategy_resample_adv_n_z3
1,44068-1778169022417944700,44068,16384,159,124,31,4,0.779874213836478,0.8,0.779874213836478,0.00037932684062980115,0.08965026587247849,0.040284447371959686,0.3839761018753052,159,124,31,4,0.779874213836478,0.8176100628930818,2.7735849056603774,1.9559748427672956,-0.00816190242767334,0.0089111328125,0.0029296325519680977,0.006100681610405445,0.010808173567056656,0.0003662109375,0.03662109375,-0.009865721687674522,0.00037932684062980115,0.00927734375,0.004282340966165065,0.46154152956071126,0.9770624,1.0633063349991234,-0.011582533008549944,0.9034172769170254,0.6904661059379578,0.06665818393230438,0.824091911315918,0.900070309638977,0.997736930847168,1.132676601409912,0.04028444712608293,0.3839761088903666,16384.0001,2.676417037844658,0.003331496237024112,0.05689239501953125,1.8094794913195074,0.00017705088000000003,1.3786131888628006,0.9944592054382412,-0.0014408771589842218,0.005365493398869603,0.08692491479450837,0.07350931918153947,0.9584575715707615,0.0,1.7741967828478664,167.0,0.01019287109375,4.0,1.0,0.0,0.0,0.10360360360360366,0.01019287109375,0.3855399191379547,0.2771596610546112,0.3862167000770569,,,,,0.0,0.188720703125,0.294677734375,0.2349853515625,0.2816162109375,30,0.8333333333333334,2.7666666666666666,1.8666666666666667,0.9,49,0.7959183673469388,2.816326530612245,1.9591836734693877,0.8571428571428571,37,0.7297297297297297,2.675675675675676,2.054054054054054,0.6216216216216216,43,0.7674418604651163,2.813953488372093,1.930232558139535,0.8837209302325582,0.02592962048947811,0.28967493772506714,31.0,0.024918001145124435,0.22761322557926178,49.0,-0.11413656175136566,0.3020331859588623,38.0,-0.03015328384935856,0.27845585346221924,49.0
2,44068-1778169022417944700,44068,32768,320,252,63,5,0.7875,0.86,0.8,0.0015003863954916596,0.09175179153680801,0.1121867224574089,0.3945680558681488,161,128,32,1,0.7950310559006211,0.8757763975155279,2.770186335403727,1.8944099378881987,0.10804879665374756,0.00933227501809597,0.004512077663093805,0.006453474517911673,0.010555293411016464,0.003753662109375,0.3753662109375,-0.00982055626809597,0.0015003863954916596,0.01308593712747097,0.005872779097408056,0.448751227289113,0.9541248,0.7504090661123072,-0.01878161126842315,0.8341547206509858,0.6864039897918701,0.05911684408783913,0.7658591270446777,0.832365870475769,0.9100158214569092,1.029127597808838,0.07623558468203176,0.3909645574486651,32768.000100000005,2.6673511527478695,0.004436084420831321,0.08251953125,2.1100961789488792,0.00017410176000000002,1.3701781840063632,0.9883746356001128,0.0021249812424741776,0.0029996405856375086,0.00341796875,0.05552881715456473,1.1122042582883296,0.0,2.0413593999110162,161.0,0.00982666015625,4.0,3.0,0.0,0.0,0.06060606060606066,0.00982666015625,0.3726425766944885,0.31425002217292786,0.37305790185928345,,,,,0.0,0.26629638671875,0.26727294921875,0.18756103515625,0.27886962890625,41,0.7804878048780488,2.731707317073171,1.975609756097561,0.7560975609756098,44,0.7727272727272727,2.727272727272727,1.8863636363636365,0.8409090909090909,30,0.8333333333333334,2.8666666666666667,1.8666666666666667,1.0,46,0.8043478260869565,2.782608695652174,1.8478260869565217,0.9347826086956522,-0.005697342567145824,0.30725982785224915,44.0,0.057180266827344894,0.31634485721588135,44.0,0.04916354641318321,0.2611103355884552,30.0,0.0843871533870697,0.34252679347991943,43.0
3,44068-1778169022417944700,44068,49152,489,390,92,7,0.7975460122699386,0.78,0.83,0.0016017933376133442,0.09171640127897263,0.14095452427864075,0.39214369654655457,169,138,29,2,0.8165680473372781,0.9881656804733728,2.8224852071005917,1.834319526627219,0.16118669509887695,0.01042480394244194,0.004431510344147682,0.006284303031861782,0.010580265894532204,0.00341796875,0.341796875,-0.009932860732078552,0.0016017933376133442,0.01384277269244194,0.0057806758582592006,0.4175650660181081,0.9311872,0.717496664583451,-0.02900446584135352,0.7603862981777638,0.6197862029075623,0.0613451711833477,0.6820095777511597,0.7540806531906128,0.8464416861534119,0.9197592735290527,0.09780856450367775,0.3925453717222752,49152.000100000005,2.6970097851008177,0.007154177031225117,0.13680267333984375,2.004623306915164,0.00017115264,1.3714744299650192,0.9893096794082756,-0.021492606235966605,0.004069671709785894,0.053051018883707,0.0631021076290305,0.9890739210313768,0.0,1.87074782862328,169.0,0.01031494140625,4.0,0.0,0.0,0.0,0.12086956521739134,0.01031494140625,0.3591516613960266,0.33242669701576233,0.35932913422584534,,,,,0.0,0.29461669921875,0.2789306640625,0.134521484375,0.29193115234375,50,0.86,2.86,1.82,1.04,47,0.851063829787234,2.851063829787234,1.7234042553191489,1.127659574468085,23,0.7391304347826086,2.782608695652174,1.9565217391304348,0.8260869565217391,49,0.7755102040816326,2.7755102040816326,1.8979591836734695,0.8775510204081632,-0.02686060592532158,0.29614517092704773,49.0,0.07193921506404877,0.30567818880081177,48.0,0.056882672011852264,0.29072070121765137,23.0,-0.016434503719210625,0.301727831363678,49.0
4,44068-1778169022417944700,44068,65536,653,518,125,10,0.7932618683001531,0.84,0.785,0.0012618015753105283,0.09035278856754303,0.12682776153087616,0.4087125360965729,164,128,33,3,0.7804878048780488,0.9146341463414634,2.7865853658536586,1.8719512195121952,0.20410120487213135,0.009173584170639515,0.004250161349773407,0.006192751228809357,0.010185777209699154,0.003021240234375,0.3021240234375,-0.00988037046045065,0.0012618015753105283,0.012194824405014515,0.005560443624854088,0.4559301151111867,0.9082496,0.8101437124978753,-0.03422955299356545,0.7612683034967631,0.6292394399642944,0.05738115310668945,0.6851822137832642,0.7615197896957397,0.8343932628631592,0.9268234968185425,0.1050633637494074,0.3968479330602695,65536.0001,2.6775761237367988,0.009051949701643025,0.166473388671875,2.3345308143179864,0.00016820352,1.3675828417763114,0.9865024919177602,0.0049711446525675385,0.0025710321609813125,0.04611883457982913,0.04836105709102867,1.1705351611816468,0.0,2.1913628997281194,164.0,0.010009765625,4.0,3.0,0.0,0.0,0.2056737588652483,0.010009765625,0.36462536454200745,0.3302221894264221,0.364860862493515,,,,,0.0,0.20123291015625,0.28070068359375,0.23638916015625,0.28167724609375,33,0.7878787878787878,2.757575757575758,1.878787878787879,0.8787878787878788,47,0.8723404255319149,2.872340425531915,1.7659574468085106,1.1063829787234043,39,0.7948717948717948,2.871794871794872,1.8717948717948718,1.0,45,0.6666666666666666,2.6444444444444444,1.9777777777777779,0.6666666666666666,-0.04126957431435585,0.39352717995643616,30.0,0.02625364065170288,0.31954485177993774,50.0,0.00888145249336958,0.29478439688682556,40.0,-0.051453303545713425,0.3485894799232483,44.0
5,44068-1778169022417944700,44068,81920,820,663,144,13,0.8085365853658537,0.88,0.87,0.0018678655615076423,0.09122935682535172,0.17481911182403564,0.3675856292247772,167,145,19,3,0.8682634730538922,1.1137724550898203,2.8862275449101795,1.7724550898203593,0.15290015935897827,0.011755370534956455,0.0044981264509260654,0.006006248295307159,0.009758749976754189,0.00360107421875,0.360107421875,-0.010070799849927425,0.0018678655615076423,0.015356444753706455,0.005759326312690973,0.37501852717399387,0.885312,0.6557601223013927,-0.0370157256766106,0.6670927342493087,0.5141969919204712,0.05426402390003204,0.5988616943359375,0.6663106679916382,0.7408151626586914,0.8294103145599365,0.11901451334730284,0.39216450739040165,81920.0001,2.6954642506316304,0.012640593974538206,0.20455169677734375,1.9565230631269515,0.00016525440000000001,1.3776312307454646,0.9937508723851205,-0.030299623132194142,0.0054044370561705975,0.13969043432734907,0.07672963946342293,0.7414209633934661,0.0,1.7725188499316573,167.0,0.01019287109375,4.0,1.0,0.0,0.0,0.11040828062104668,0.01019287109375,0.3383185565471649,0.284319132566452,0.33870989084243774,,,,,0.0,0.2235107421875,0.3118896484375,0.28277587890625,0.18182373046875,37,0.918918918918919,2.918918918918919,1.8108108108108107,1.1081081081081081,53,0.8679245283018868,2.8867924528301887,1.6603773584905661,1.2264150943396226,47,0.8085106382978723,2.851063829787234,1.851063829787234,1.0,30,0.9,2.9,1.8,1.1,0.08789686858654022,0.243205726146698,39.0,0.0008229084778577089,0.2872859239578247,53.0,-0.0003382200957275927,0.22665704786777496,46.0,0.03661596402525902,0.2842358648777008,29.0
6,44068-1778169022417944700,44068,98304,986,803,169,14,0.8144016227180527,0.76,0.845,0.0017493742052465677,0.09050166606903076,0.17331284284591675,0.3852025270462036,166,140,25,1,0.8433734939759037,0.9939759036144579,2.8313253012048194,1.8373493975903614,0.23527085781097412,0.010943603701889515,0.004342345520853996,0.005781947635114193,0.0098064374178648,0.003753662109375,0.3753662109375,-0.00983886606991291,0.0017493742052465677,0.014697265811264515,0.005589416325092316,0.380277265145707,0.8623744,0.6693895862444236,-0.03887358923384454,0.6579593399073929,0.5207144618034363,0.05790242180228233,0.5865143537521362,0.6515054702758789,0.7341935634613037,0.8173054456710815,0.1280642349211993,0.39153606111187056,98304.0001,2.649389701895416,0.013214762824645732,0.2127838134765625,2.300549757434055,0.00016230528000000003,1.3650698899291456,0.9846897803338107,-0.006521738179799286,0.01234843563294985,0.32540359580889344,0.11437344107889658,0.9571740662941011,0.0,2.1082949542906135,166.0,0.0101318359375,4.0,1.0,0.0,0.0,0.2510121457489879,0.0101318359375,0.3368549644947052,0.31603774428367615,0.33701369166374207,,,,,0.0,0.23834228515625,0.30206298828125,0.2239990234375,0.235595703125,38,0.7105263157894737,2.710526315789474,2.026315789473684,0.6842105263157895,52,0.9615384615384616,2.9615384615384617,1.5576923076923077,1.4038461538461537,37,0.8648648648648649,2.810810810810811,1.7837837837837838,1.027027027027027,39,0.7948717948717948,2.7948717948717947,2.076923076923077,0.717948717948718,-0.06501146405935287,0.3287604749202728,37.0,0.08851136267185211,0.25764721632003784,53.0,-0.035323966294527054,0.31569987535476685,37.0,0.020652610808610916,0.31818121671676636,39.0
7,44068-1778169022417944700,44068,114688,1153,939,196,18,0.8143972246313964,0.8,0.805,0.0018613528227433562,0.08836881071329117,0.16104668378829956,0.4194863438606262,167,136,27,4,0.8143712574850299,1.029940119760479,2.820359281437126,1.7904191616766467,0.19479477405548096,0.01030273362994194,0.004511861130595207,0.00573416892439127,0.00943814404308796,0.00457763671875,0.457763671875,-0.009832763113081455,0.0018613528227433562,0.01488037034869194,0.005725646167993545,0.38475261577619596,0.8394368,0.6607431226214827,-0.03870489484506834,0.8275796542875469,0.6471191644668579,0.07149359583854675,0.730927586555481,0.8300515413284302,0.9227844476699829,0.9892746210098267,0.1327760133266767,0.39581816800198566,114688.0001,2.6268802052363753,0.014333863646697864,0.218597412109375,2.6651621451601386,0.00015935616,1.3557021906599402,0.9779324136936999,0.0050084470832227335,0.0014028151459732907,0.0,0.0343449558887835,1.0819040070864503,0.0,2.4134661712450907,167.0,0.01019287109375,4.0,1.0,0.0,0.0,0.037878787878787956,0.01019287109375,0.3764186501502991,0.33026617765426636,0.3766983449459076,,,,,0.0,0.145263671875,0.3902587890625,0.26873779296875,0.19573974609375,24,0.8333333333333334,2.8333333333333335,1.7916666666666667,1.0416666666666667,68,0.8235294117647058,2.823529411764706,1.7941176470588236,1.0294117647058822,44,0.7954545454545454,2.8181818181818183,1.7272727272727273,1.0909090909090908,31,0.8064516129032258,2.806451612903226,1.8709677419354838,0.9354838709677419,0.021315356716513634,0.3603895604610443,24.0,-0.038901861757040024,0.33358436822891235,65.0,0.025947749614715576,0.29538479447364807,46.0,0.028451843187212944,0.30856454372406006,32.0
8,44068-1778169022417944700,44068,131072,1320,1075,223,22,0.8143939393939394,0.82,0.81,0.001666567986831069,0.08791910111904144,0.1691497266292572,0.39123499393463135,167,136,27,4,0.8143712574850299,1.0239520958083832,2.838323353293413,1.81437125748503,0.2577815651893616,0.010302734561264515,0.004153554793447256,0.005576340947300196,0.00895727425813675,0.004058837890625,0.4058837890625,-0.00988159142434597,0.001666567986831069,0.014361572451889515,0.005316244009882212,0.37014567047025176,0.8164992,0.6880098573877667,-0.040659224796885,0.6600270728270213,0.53514564037323,0.052776072174310684,0.5903002023696899,0.6572230458259583,0.729882001876831,0.8247661590576172,0.13732272748603042,0.3954311970935106,131072.0001,2.6158535798390705,0.016770882871060166,0.2349853515625,2.5298141203820705,0.00015640704,1.3719123125076294,0.9896255448946334,-0.009423517415461902,0.005609852453000741,0.10038690675670901,0.07647752920253455,1.0991586109390483,0.0,2.237528510081271,167.0,0.0101318359375,4.0,2.0,0.0,0.0,0.16112266112266116,0.01019287109375,0.3370571732521057,0.3509144186973572,0.33695149421691895,,,,,0.0,0.1505126953125,0.3056640625,0.32281494140625,0.22100830078125,26,0.8846153846153846,2.8846153846153846,1.6153846153846154,1.2692307692307692,52,0.8076923076923077,2.8653846153846154,1.7884615384615385,1.0769230769230769,52,0.7307692307692307,2.75,1.9807692307692308,0.7692307692307693,37,0.8918918918918919,2.891891891891892,1.7567567567567568,1.135135135135135,0.07457833737134933,0.2610536515712738,26.0,-0.060643188655376434,0.33074480295181274,52.0,-0.1002197340130806,0.36202168464660645,52.0,-0.028846152126789093,0.32222291827201843,37.0
9,44068-1778169022417944700,44068,147456,1490,1231,235,24,0.8261744966442953,0.92,0.895,0.0033172450494021177,0.08904946595430374,0.2561202049255371,0.3334309160709381,170,156,12,2,0.9176470588235294,1.3,2.929411764705882,1.6294117647058823,0.21260511875152588,0.01331787183880806,0.006111111491918564,0.005669977515935898,0.00894996989518404,0.007171630859375,0.7171630859375,-0.009665526449680328,0.0033172450494021177,0.02048950269818306,0.007280707284808159,0.3553210671329091,0.7935616,0.47170762923924714,-0.037472552733961495,0.5190266008675098,0.40549618005752563,0.044780515134334564,0.4601844251155853,0.5206578373908997,0.5801335573196411,0.6251013278961182,0.15052244719257954,0.390817886781103,147456.0001,2.571632262468338,0.018781249686144294,0.23591796875,2.350018054842949,0.00015345792,1.3716230469942092,0.9894168839337777,-0.0324171874914623,0.0012611189404583456,0.005380952507257461,0.033612700771191155,0.8915060137491673,0.0,2.1144976022094486,170.0,0.010361328125,4.0,0.0,0.0,0.0,0.0635198135198135,0.0103759765625,0.295870840549469,0.3362545669078827,0.295530766248703,,,,,0.0,0.2950439453125,0.288330078125,0.21905517578125,0.19757080078125,52,0.9423076923076923,2.9423076923076925,1.7115384615384615,1.2307692307692308,47,0.9148936170212766,2.9574468085106385,1.574468085106383,1.3829787234042554,38,0.9210526315789473,2.9210526315789473,1.605263157894737,1.3157894736842106,33,0.8787878787878788,2.878787878787879,1.606060606060606,1.2727272727272727,0.03725109249353409,0.2764027714729309,52.0,0.03502025455236435,0.33113035559654236,49.0,0.02888859063386917,0.372052937746048,36.0,0.06674153357744217,0.2963925004005432,33.0
10,44068-1778169022417944700,44068,163840,1659,1377,256,26,0.8300180831826401,0.92,0.875,0.002449433784931898,0.08879227936267853,0.2139335572719574,0.39962446689605713,169,146,21,2,0.863905325443787,1.1005917159763314,2.863905325443787,1.7633136094674555,0.19668883085250854,0.01174316368997097,0.0047509195283055305,0.0053220209665596485,0.008704468607902527,0.005859375,0.5859375,-0.009874267503619194,0.002449433784931898,0.01760253868997097,0.005873038694262505,0.3336283004057856,0.770624,0.5609251456495351,-0.03600678364366141,0.7662653777064109,0.5511113405227661,0.06985767930746078,0.6787645220756531,0.7667694091796875,0.8494711518287659,0.9381913542747498,0.15686355819664702,0.392169119228435,163840.0001,2.6012921053536084,0.01802333028290934,0.22837611607142858,2.507441291395499,0.00015050880000000002,1.370353034564427,0.9885007636166206,-0.01968607638729959,0.001586002762253162,0.0,0.0410141745453565,0.930814859001156,0.0,2.2266094900515614,169.0,0.010393415178571428,4.0,1.0,0.0,0.0,0.09798534798534808,0.01031494140625,0.3581739366054535,0.29970720410346985,0.3585837781429291,,,,,0.0,0.2427978515625,0.3133544921875,0.2073974609375,0.2364501953125,39,0.7948717948717948,2.7435897435897436,1.8461538461538463,0.8974358974358975,56,0.8928571428571429,2.892857142857143,1.6607142857142858,1.2321428571428572,34,0.8823529411764706,2.911764705882353,1.7352941176470589,1.1764705882352942,40,0.875,2.9,1.85,1.05,-0.04553273692727089,0.37266606092453003,40.0,0.019490472972393036,0.30798423290252686,56.0,0.005525615531951189,0.26393699645996094,34.0,-0.03119899332523346,0.28210020065307617,39.0
