episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,near_misses_per_episode,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,46276-1779780194457814300,46276,680,0,85,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,85,0.5199999809265137,1,0,16,35.0,5.972379796645221,1.0,0.5,-0.008155018091201782,0.0,1.0,100.0,-0.20000000298023224,0.5186492800712585
2,46276-1779780194457814300,46276,720,0,90,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,90,0.5999999642372131,1,0,13,35.0,6.212075466579861,1.0,0.5,-0.010394737124443054,0.0,1.0,100.0,0.0,0.5541496276855469
3,46276-1779780194457814300,46276,736,0,92,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,92,0.5199999809265137,1,0,19,28.0,5.555594402810802,1.0,0.5,0.006458014249801636,0.0,1.0,100.0,0.0,0.5548791885375977
4,46276-1779780194457814300,46276,752,0,94,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,94,0.5600000023841858,1,0,20,31.0,5.73014539353391,-1.0,-0.5,-0.002003505825996399,0.019999999552965164,-1.0,-100.0,0.0,-0.5538204312324524
5,46276-1779780194457814300,46276,968,0,121,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,121,0.7199999690055847,1,0,20,47.0,5.987045414191632,1.0,0.5,0.005789965391159058,0.0,1.0,100.0,-0.20000000298023224,0.5192860960960388
6,46276-1779780194457814300,46276,976,0,122,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,122,0.5199999809265137,0,1,28,42.0,5.982222760309939,-1.0,-0.5,0.016704261302947998,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5867570638656616
7,46276-1779780194457814300,46276,992,0,124,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,124,0.5999999642372131,0,2,56,41.0,5.120994321761593,1.0,0.4000000059604645,-0.005898341536521912,0.04999999701976776,1.0,100.0,-0.20000000298023224,0.5025831460952759
8,46276-1779780194457814300,46276,1240,0,155,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,155,0.5600000023841858,0,2,37,25.0,5.453028525075605,-1.0,-0.5,0.016416296362876892,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5867688655853271
9,46276-1779780194457814300,46276,1464,0,183,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,89,0.5199999809265137,1,0,16,32.0,5.462906398130267,1.0,0.5,-0.01024790108203888,0.0,1.0,100.0,0.0,0.5541561245918274
10,46276-1779780194457814300,46276,1480,0,185,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,100,0.5999999642372131,1,0,19,27.0,5.974401245117187,1.0,0.5,0.00841134786605835,0.0,1.0,100.0,-0.20000000298023224,0.5194057822227478
11,46276-1779780194457814300,46276,1528,0,191,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,99,0.6399999856948853,1,0,21,31.0,7.241254093671086,-1.0,-0.5,-0.005845189094543457,0.0,-1.0,-100.0,-0.20000000298023224,-0.5884981155395508
12,46276-1779780194457814300,46276,1616,0,202,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,112,0.6800000071525574,1,0,25,32.0,5.327060154506138,-1.0,-0.5,0.016543284058570862,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5867636799812317
13,46276-1779780194457814300,46276,1672,0,209,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,88,0.5199999809265137,0,1,11,26.0,5.993073896928267,1.0,0.0,-0.010192126035690308,0.0,0.0,0.0,0.0,0.24431976675987244
14,46276-1779780194457814300,46276,1672,0,209,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,87,0.5600000023841858,1,0,21,29.0,6.225045741289511,1.0,0.5,-0.01234985888004303,0.014999999664723873,1.0,100.0,0.0,0.5547144412994385
15,46276-1779780194457814300,46276,1824,0,228,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,1,3,-2,104,0.5600000023841858,1,0,22,35.0,6.113663306603065,-1.0,-0.5,0.008056789636611938,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5871114134788513
16,46276-1779780194457814300,46276,2144,0,268,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,113,0.5999999642372131,1,0,20,34.0,6.0894996845616705,1.0,0.5,-0.008443862199783325,0.02499999850988388,1.0,100.0,0.0,0.5553158521652222
17,46276-1779780194457814300,46276,2256,0,282,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,91,0.5999999642372131,1,0,19,31.0,6.668609954498627,1.0,0.5,0.004196196794509888,0.0,1.0,100.0,-0.20000000298023224,0.5192133784294128
18,46276-1779780194457814300,46276,2360,0,295,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,86,0.5999999642372131,1,0,22,30.0,6.433730014534884,1.0,0.5,-0.023906096816062927,0.014999999664723873,1.0,100.0,-0.20000000298023224,0.5186149477958679
19,46276-1779780194457814300,46276,2368,0,296,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,1,3,-2,113,0.5999999642372131,1,0,25,32.0,5.787421032390763,-1.0,-0.5,0.0006888061761856079,0.0,-1.0,-100.0,-0.20000000298023224,-0.588231086730957
20,46276-1779780194457814300,46276,2384,0,298,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,113,0.6800000071525574,1,0,24,32.0,6.308567823561947,1.0,0.5,-0.009674876928329468,0.0,1.0,100.0,0.0,0.5541808605194092
21,46276-1779780194457814300,46276,2544,0,318,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,90,0.5600000023841858,1,0,11,26.0,5.889088948567708,1.0,0.5,-0.0097532719373703,0.0,1.0,100.0,0.0,0.5541775226593018
22,46276-1779780194457814300,46276,2552,0,319,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,110,0.7199999690055847,1,0,21,33.0,6.001498135653409,-1.0,-0.5,0.011604994535446167,0.0,-1.0,-100.0,-0.20000000298023224,-0.5877847671508789
