update,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_total_mean,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,strategy_entropy,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_q_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,strategy_kl,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,episode_z_0_count,episode_z_0_win_rate,episode_z_0_blue_score_mean,episode_z_0_red_score_mean,episode_z_0_win_margin_mean,episode_z_1_count,episode_z_1_win_rate,episode_z_1_blue_score_mean,episode_z_1_red_score_mean,episode_z_1_win_margin_mean,episode_z_2_count,episode_z_2_win_rate,episode_z_2_blue_score_mean,episode_z_2_red_score_mean,episode_z_2_win_margin_mean,episode_z_3_count,episode_z_3_win_rate,episode_z_3_blue_score_mean,episode_z_3_red_score_mean,episode_z_3_win_margin_mean,strategy_resample_adv_mean_z0,strategy_resample_adv_std_z0,strategy_resample_adv_n_z0,strategy_resample_adv_mean_z1,strategy_resample_adv_std_z1,strategy_resample_adv_n_z1,strategy_resample_adv_mean_z2,strategy_resample_adv_std_z2,strategy_resample_adv_n_z2,strategy_resample_adv_mean_z3,strategy_resample_adv_std_z3,strategy_resample_adv_n_z3
1,16384,876,434,312,130,0.4954337899543379,0.44,0.48,-0.01006600446999073,0.2325229048728943,-0.05133743956685066,0.5109630823135376,876,434,312,130,0.4954337899543379,0.17579908675799086,2.6164383561643834,2.4406392694063928,-0.004076838493347168,0.00347900390625,0.01252441480755806,0.0013326823245733976,0.027408400550484657,0.012451171875,1.2451171875,-0.07626953721046448,-0.01006600446999073,-0.03202879681605204,0.9700967184428511,0.8343328237533569,0.05457574874162674,0.9003509879112244,0.9678071737289429,1.041502833366394,1.1829931735992432,-0.051337439253511793,0.5109630902578023,16384.0001,2.990171249159451,0.012369395482578668,0.10831088362068965,0.23137617036700248,0.000245904,1.3713124406748805,-0.010925748869687961,0.015185791262567739,0.07425449115448984,0.15371897531440012,0.0,0.0,0.07977505928740419,884.0,0.054014008620689655,4.0,2.0,0.0,0.0,0.053955078125,0.5120036005973816,0.5843091011047363,0.5080676078796387,,,,,0.0,0.2142333984375,0.2506103515625,0.2723388671875,0.2628173828125,190,0.5052631578947369,2.6526315789473682,2.4105263157894736,0.24210526315789474,220,0.38181818181818183,2.5318181818181817,2.590909090909091,-0.05909090909090909,237,0.5527426160337553,2.6455696202531644,2.3755274261603376,0.270042194092827,229,0.537117903930131,2.6375545851528384,2.388646288209607,0.24890829694323144,-0.1074172779917717,0.5986071228981018,192.0,-0.1995866596698761,0.5904907584190369,223.0,-0.08756692707538605,0.5699114203453064,240.0,-0.1495751589536667,0.5979985594749451,229.0
2,32768,1761,891,608,262,0.5059625212947189,0.52,0.48,-0.011056216433644295,0.23072431981563568,-0.05938087776303291,0.4945984184741974,885,457,296,132,0.5163841807909605,0.21468926553672316,2.6418079096045197,2.4271186440677965,0.027301132678985596,0.00579833984375,0.00982666015625,0.00134671526029706,0.027257079258561134,0.0081787109375,0.81787109375,-0.07625733315944672,-0.011056216433644295,-0.03430424206557551,0.9154761375061103,0.8062219023704529,0.04644963517785072,0.8585081100463867,0.9132740497589111,0.9778895378112793,1.049527645111084,-0.05535915849599904,0.5028634123971264,32768.000100000005,2.953638677086149,0.016353234840997693,0.13882882254464285,0.35337231547704767,0.000241808,1.369137462760721,-0.005401119174410139,0.00476496151531742,0.0006740944393511329,0.08292393348351368,0.0,0.0,0.08514491006332849,885.0,0.05376325334821429,4.0,2.0,0.0,0.0,0.05401611328125,0.48780015110969543,0.5686748623847961,0.4836686849594116,,,,,0.0,0.28692626953125,0.19293212890625,0.33099365234375,0.18914794921875,255,0.5686274509803921,2.6862745098039214,2.372549019607843,0.3137254901960784,170,0.5352941176470588,2.635294117647059,2.4,0.23529411764705882,295,0.44745762711864406,2.5966101694915253,2.5016949152542374,0.09491525423728814,165,0.5393939393939394,2.6606060606060606,2.4060606060606062,0.2545454545454545,-0.09698022902011871,0.5668209791183472,255.0,-0.03553609922528267,0.5482478141784668,169.0,-0.15043213963508606,0.5709713101387024,295.0,-0.07645703852176666,0.5943719148635864,166.0
3,49152,2639,1344,916,379,0.5092838196286472,0.48,0.48,-0.010077880695462227,0.2307041436433792,-0.05485602840781212,0.5020351409912109,878,453,308,117,0.5159453302961275,0.1970387243735763,2.629840546697039,2.432801822323462,0.04455834627151489,0.005279541015625,0.011505126953125,0.0012592372950166464,0.026683418080210686,0.0130615234375,1.30615234375,-0.07761231064796448,-0.010077880695462227,-0.026456143465364658,0.9312095159216772,0.7786063551902771,0.052650630474090576,0.8640385866165161,0.9340741634368896,0.9939708113670349,1.0679258108139038,-0.055191448466944605,0.5025875199169071,49152.000100000005,2.9005789334260963,0.01690464433653964,0.1392157832278481,0.4496617483187325,0.000237712,1.3666173642194723,-0.003856522297511688,0.00381575495443393,0.0015822784810126582,0.06993888069450742,0.0,0.0,0.08580098199787774,877.0,0.053401898734177215,4.0,0.0,0.0,0.0,0.05352783203125,0.4907227158546448,0.5904377102851868,0.4861782193183899,,,,,0.0,0.31402587890625,0.2381591796875,0.25872802734375,0.1890869140625,277,0.5848375451263538,2.675090252707581,2.357400722021661,0.3176895306859206,208,0.4807692307692308,2.6346153846153846,2.4615384615384617,0.17307692307692307,226,0.46017699115044247,2.5707964601769913,2.5088495575221237,0.061946902654867256,167,0.5209580838323353,2.62874251497006,2.4191616766467066,0.20958083832335328,0.0009887961205095053,0.5650725364685059,276.0,-0.06011992320418358,0.5195149779319763,208.0,-0.10632304847240448,0.5927215218544006,226.0,-0.04604128375649452,0.6241012215614319,167.0
4,65536,3523,1802,1205,516,0.5114958841896111,0.44,0.555,-0.01011243648827076,0.23092052340507507,-0.05186613276600838,0.48987138271331787,884,458,289,137,0.5180995475113123,0.23076923076923078,2.658371040723982,2.427601809954751,0.05031108856201172,0.006134033203125,0.01139526441693306,0.0011464362032711506,0.026943892240524292,0.01123046875,1.123046875,-0.07663574069738388,-0.01011243648827076,-0.0355434806622339,0.8933517445217479,0.7918719053268433,0.04464597627520561,0.8362635374069214,0.8974587917327881,0.9416247010231018,1.0146152973175049,-0.054360119542979056,0.499440912708473,65536.0001,2.9237778933361325,0.020287952930290214,0.1626223169191919,0.4737803713239805,0.000233616,1.3506840973189382,-0.0016127859189894462,0.001970133066894971,0.0,0.053395762150352015,0.0,0.0,0.10158961798732329,885.0,0.05413510101010101,4.0,0.0,0.0,0.0,0.05401611328125,0.4773893654346466,0.5632561445236206,0.4735242426395416,,,,,0.0,0.3447265625,0.25079345703125,0.208251953125,0.19622802734375,303,0.5214521452145214,2.6567656765676566,2.405940594059406,0.2508250825082508,222,0.481981981981982,2.6396396396396398,2.4774774774774775,0.16216216216216217,182,0.5384615384615384,2.6923076923076925,2.4285714285714284,0.26373626373626374,177,0.536723163841808,2.6497175141242937,2.401129943502825,0.24858757062146894,-0.05545182526111603,0.5480816960334778,303.0,0.010950003750622272,0.5433491468429565,222.0,0.03197772055864334,0.5436570048332214,184.0,-0.07402844727039337,0.591644823551178,176.0
5,81920,4404,2262,1501,641,0.5136239782016349,0.58,0.495,-0.010775797069072723,0.23128075897693634,-0.045318108052015305,0.5078737735748291,881,460,296,125,0.5221339387060159,0.2304199772985244,2.6469920544835412,2.416572077185017,0.06609821319580078,0.006195068359375,0.01073608547449112,0.0011711171828210354,0.026629772037267685,0.00921630859375,0.921630859375,-0.07684326171875,-0.010775797069072723,-0.028983100458342386,0.94153519915907,0.8105584383010864,0.05418936163187027,0.8731327056884766,0.9358792901039124,1.017033338546753,1.0783385038375854,-0.052551717246993826,0.5011518930869205,81920.0001,2.899756453539196,0.017784535932342374,0.13759251644736842,0.5216761431411693,0.00022952,1.3513167798519135,0.00014655581829569578,0.000513451064609614,0.0,0.028929341366622684,0.0,0.0,0.08881129535209191,881.0,0.05365953947368421,4.0,0.0,0.0,0.0,0.05377197265625,0.4908021092414856,0.5909099578857422,0.48626598715782166,,,,,0.0,0.3087158203125,0.23907470703125,0.274658203125,0.17755126953125,272,0.5220588235294118,2.6433823529411766,2.411764705882353,0.23161764705882354,208,0.5240384615384616,2.6538461538461537,2.4086538461538463,0.24519230769230768,244,0.5327868852459017,2.651639344262295,2.3934426229508197,0.2581967213114754,157,0.5031847133757962,2.6369426751592355,2.4713375796178343,0.16560509554140126,-0.010539750568568707,0.5979973077774048,274.0,-0.04576050117611885,0.5894781351089478,209.0,-0.04170827195048332,0.5783623456954956,240.0,-0.03756732493638992,0.5694772601127625,158.0
6,98304,5288,2749,1794,745,0.5198562783661119,0.54,0.525,-0.008654015138745308,0.23081374168395996,-0.022648440673947334,0.5092089176177979,884,487,293,104,0.5509049773755657,0.27149321266968324,2.6493212669683257,2.3778280542986425,0.06571054458618164,0.0086669921875,0.01221313513815403,0.0013068208936601877,0.026702381670475006,0.01385498046875,1.385498046875,-0.07611083984375,-0.008654015138745308,-0.028535834761554156,0.9457174578270355,0.8525752425193787,0.04837966337800026,0.8894405364990234,0.9417182803153992,1.0090852975845337,1.1131670475006104,-0.04756783782322261,0.5026272652052552,98304.0001,2.89454443423779,0.01791801357297106,0.14369419642857142,0.5778237318063711,0.00022542400000000003,1.3432807721100843,1.4952594938222319e-05,0.0003760292772398457,0.0,0.023237588843502348,0.0,0.0,0.09941630943545274,882.0,0.05423092532467533,4.0,0.0,0.0,0.0,0.0538330078125,0.4921944737434387,0.5955073833465576,0.4876954257488251,,,,,0.0,0.3905029296875,0.2117919921875,0.2574462890625,0.1402587890625,345,0.5159420289855072,2.608695652173913,2.411594202898551,0.19710144927536233,187,0.5828877005347594,2.695187165775401,2.358288770053476,0.33689839572192515,228,0.5745614035087719,2.692982456140351,2.3464912280701755,0.34649122807017546,124,0.5564516129032258,2.6129032258064515,2.370967741935484,0.24193548387096775,-0.031220197677612305,0.5850014686584473,346.0,0.040189750492572784,0.5859190821647644,185.0,0.033482860773801804,0.6079630255699158,227.0,0.03426738455891609,0.6026065945625305,124.0
7,114688,6170,3199,2117,854,0.5184764991896272,0.64,0.575,-0.009256264194846153,0.23248150944709778,-0.04394086077809334,0.49156686663627625,882,450,323,109,0.5102040816326531,0.1961451247165533,2.620181405895692,2.4240362811791383,0.07289773225784302,0.004425048828125,0.012921142391860485,0.0012839988339692354,0.025980692356824875,0.01458740234375,1.458740234375,-0.07669677585363388,-0.009256264194846153,-0.028639436130980394,0.8782288943018232,0.7316679358482361,0.047978028655052185,0.8154894709587097,0.8769501447677612,0.9308290481567383,1.0186374187469482,-0.04704969824579878,0.5010637622720411,114688.0001,2.8542674423812273,0.018118418674528985,0.14356737012987014,0.6222864544236815,0.000221328,1.332951488432946,-0.007744484050971397,0.005173306061844603,0.03424584444660645,0.07828056633874374,0.0,0.0,0.10239973770720619,883.0,0.0544338474025974,4.0,0.0,0.0,0.0,0.05389404296875,0.47331079840660095,0.5578448176383972,0.46935275197029114,,,,,0.0,0.30145263671875,0.2445068359375,0.27142333984375,0.1826171875,267,0.5955056179775281,2.6853932584269664,2.337078651685393,0.34831460674157305,215,0.48372093023255813,2.6,2.4465116279069767,0.15348837209302327,239,0.4435146443514644,2.573221757322176,2.502092050209205,0.07112970711297072,161,0.5031055900621118,2.608695652173913,2.422360248447205,0.18633540372670807,0.10411111265420914,0.5812481641769409,266.0,-0.0018999609164893627,0.5316346287727356,217.0,-0.03867891803383827,0.5655043125152588,240.0,-0.023984236642718315,0.5578084588050842,160.0
8,131072,7049,3644,2403,1002,0.5169527592566322,0.62,0.49,-0.0108577199280262,0.23170886933803558,-0.051901839673519135,0.4793946146965027,879,445,286,148,0.5062571103526735,0.23208191126279865,2.6621160409556315,2.430034129692833,0.09138220548629761,0.00518798828125,0.010882568545639515,0.0009283288381993771,0.025594962760806084,0.01080322265625,1.080322265625,-0.07744140923023224,-0.0108577199280262,-0.02698342875921971,0.8291778752248581,0.731956958770752,0.04189002141356468,0.7741909623146057,0.8286905884742737,0.8851303458213806,0.9528913497924805,-0.047656215923801086,0.49840922766865525,131072.0001,2.7813699604713755,0.01862784301262502,0.1403039383561644,0.6193691798268932,0.000217232,1.290700860219459,-0.0003986281122467794,0.0007992802817725159,0.0,0.03335405517778458,0.0,0.0,0.11094730924049469,879.0,0.05353702910958904,4.0,0.0,0.0,0.0,0.05364990234375,0.4569658935070038,0.5380095839500427,0.45341750979423523,,,,,0.0,0.41705322265625,0.23101806640625,0.215087890625,0.1368408203125,367,0.5286103542234333,2.6512261580381473,2.4059945504087192,0.2452316076294278,205,0.4634146341463415,2.629268292682927,2.4829268292682927,0.14634146341463414,188,0.5319148936170213,2.723404255319149,2.382978723404255,0.3404255319148936,119,0.47058823529411764,2.6554621848739495,2.4873949579831933,0.16806722689075632,-0.025150254368782043,0.5550827980041504,366.0,-0.06124822050333023,0.5066626667976379,205.0,0.050645045936107635,0.5455840826034546,188.0,-0.009943493641912937,0.5535606145858765,120.0
9,147456,7929,4154,2656,1119,0.5238996090301425,0.52,0.575,-0.0063984813168644905,0.23260457813739777,0.0038455319590866566,0.4859333038330078,880,510,253,117,0.5795454545454546,0.3534090909090909,2.7,2.346590909090909,0.07711422443389893,0.012115478515625,0.01470336876809597,0.0012834224617108703,0.02567749097943306,0.01959228515625,1.959228515625,-0.07777099311351776,-0.0063984813168644905,-0.02189392246879064,0.8727017641067505,0.7544093132019043,0.04069750756025314,0.8357675075531006,0.8697768449783325,0.9167384505271912,1.032496452331543,-0.041933799496249875,0.49730193798896394,147456.0001,2.7489451958582953,0.015762984100729228,0.1251502403846154,0.6970978828576895,0.000213136,1.2861038446426392,-0.00022701495953506823,0.00044002113977512634,0.0,0.022639032539906623,0.0,0.0,0.10812874906338178,881.0,0.05366586538461538,4.0,0.0,0.0,0.0,0.05377197265625,0.4668212831020355,0.5560190081596375,0.46292799711227417,,,,,0.0,0.43017578125,0.21478271484375,0.21240234375,0.14263916015625,378,0.5873015873015873,2.738095238095238,2.3386243386243386,0.3994708994708995,190,0.5526315789473685,2.6842105263157894,2.3684210526315788,0.3157894736842105,186,0.5913978494623656,2.6559139784946235,2.3440860215053765,0.3118279569892473,126,0.5793650793650794,2.6746031746031744,2.3412698412698414,0.3333333333333333,0.06054706498980522,0.5480916500091553,378.0,0.0964001789689064,0.5801568031311035,189.0,0.01700841821730137,0.5315880179405212,189.0,0.06324558705091476,0.5320494771003723,125.0
10,163840,8812,4643,2928,1241,0.5268951429868362,0.58,0.555,-0.010418424382805824,0.23143385350704193,-0.03770096227526665,0.4906606674194336,883,489,272,122,0.5537938844847112,0.29331823329558326,2.669309173272933,2.37599093997735,0.08348554372787476,0.009521484375,0.01000366173684597,0.0012832838110625744,0.025303564965724945,0.0103759765625,1.03759765625,-0.07856445014476776,-0.010418424382805824,-0.02867245780745227,0.8835188589598003,0.7627449631690979,0.0503346286714077,0.8211824893951416,0.8900242447853088,0.942958414554596,1.0006444454193115,-0.0415105157744099,0.49664343162767366,163840.0001,2.719092375353763,0.016799850159594298,0.13109066611842105,0.6825891172415331,0.00020904000000000002,1.2757358629452555,-0.0005965373788507103,0.0005800098618997019,0.0,0.02881148916514058,0.0,0.0,0.11677990549881208,883.0,0.05350534539473684,4.0,0.0,0.0,0.0,0.05389404296875,0.4697328209877014,0.5588317513465881,0.46575525403022766,,,,,0.0,0.41802978515625,0.21630859375,0.22967529296875,0.135986328125,369,0.5582655826558266,2.693766937669377,2.3739837398373984,0.31978319783197834,191,0.5078534031413613,2.6335078534031413,2.424083769633508,0.2094240837696335,205,0.6,2.6682926829268294,2.3121951219512193,0.35609756097560974,118,0.5338983050847458,2.652542372881356,2.4152542372881354,0.23728813559322035,-0.06806432455778122,0.546116292476654,367.0,-0.03087451122701168,0.5545664429664612,194.0,0.001523770159110427,0.5777904987335205,203.0,-0.01418392825871706,0.5549439191818237,119.0
